"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RW","Patrick Kane",7900,"StL@Chi 08:00PM ET",5.167,"Chi"
"G","Corey Crawford",7800,"StL@Chi 08:00PM ET",6.289,"Chi"
"C","Sidney Crosby",7800,"Pit@Van 10:00PM ET",2.591,"Pit"
"G","Marc-Andre Fleury",7700,"Pit@Van 10:00PM ET",6.200,"Pit"
"G","Roberto Luongo",7600,"Fla@Anh 10:30PM ET",5.275,"Fla"
"RW","Vladimir Tarasenko",7500,"StL@Chi 08:00PM ET",4.864,"StL"
"G","Ryan Miller",7400,"Pit@Van 10:00PM ET",4.927,"Van"
"RW","Phil Kessel",7300,"Pit@Van 10:00PM ET",3.136,"Pit"
"G","Jake Allen",7300,"StL@Chi 08:00PM ET",5.371,"StL"
"C","Evgeni Malkin",7200,"Pit@Van 10:00PM ET",3.773,"Pit"
"RW","Blake Wheeler",7200,"Wpg@Tor 07:00PM ET",4.750,"Wpg"
"G","Brian Elliott",7200,"StL@Chi 08:00PM ET",4.520,"StL"
"G","Jeff Zatkoff",7000,"Pit@Van 10:00PM ET",10.000,"Pit"
"G","Scott Darling",7000,"StL@Chi 08:00PM ET",2.533,"Chi"
"RW","Corey Perry",6900,"Fla@Anh 10:30PM ET",1.864,"Anh"
"G","Frederik Andersen",6900,"Fla@Anh 10:30PM ET",4.111,"Anh"
"G","Al Montoya",6800,"Fla@Anh 10:30PM ET",5.667,"Fla"
"G","Ondrej Pavelec",6600,"Wpg@Tor 07:00PM ET",3.667,"Wpg"
"LW","Alexander Steen",6500,"StL@Chi 08:00PM ET",3.917,"StL"
"C","Jonathan Toews",6500,"StL@Chi 08:00PM ET",3.583,"Chi"
"G","Michael Hutchinson",6500,"Wpg@Tor 07:00PM ET",5.640,"Wpg"
"LW","Daniel Sedin",6400,"Pit@Van 10:00PM ET",3.792,"Van"
"G","Anton Khudobin",6400,"Fla@Anh 10:30PM ET",2.200,"Anh"
"G","Richard Bachman",6400,"Pit@Van 10:00PM ET",5.600,"Van"
"G","Jonathan Bernier",6300,"Wpg@Tor 07:00PM ET",1.875,"Tor"
"G","James Reimer",6300,"Wpg@Tor 07:00PM ET",3.720,"Tor"
"LW","James van Riemsdyk",6200,"Wpg@Tor 07:00PM ET",2.818,"Tor"
"RW","Patric Hornqvist",5900,"Pit@Van 10:00PM ET",2.545,"Pit"
"RW","Radim Vrbata",5800,"Pit@Van 10:00PM ET",3.433,"Van"
"D","Dustin Byfuglien",5800,"Wpg@Tor 07:00PM ET",2.958,"Wpg"
"C","Nick Bjugstad",5800,"Fla@Anh 10:30PM ET",3.045,"Fla"
"RW","Jaromir Jagr",5700,"Fla@Anh 10:30PM ET",3.800,"Fla"
"D","Kris Letang",5600,"Pit@Van 10:00PM ET",3.136,"Pit"
"LW","Andrew Ladd",5500,"Wpg@Tor 07:00PM ET",3.208,"Wpg"
