Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
G,Brian Elliott,7400,StL@Van 10:00PM ET,5.133,StL
G,Ryan Miller,7300,StL@Van 10:00PM ET,6.85,Van
G,Semyon Varlamov,7300,Col@Anh 10:00PM ET,1.267,Col
G,Jake Allen,7300,StL@Van 10:00PM ET,0.2,StL
RW,Vladimir Tarasenko,7300,StL@Van 10:00PM ET,5.625,StL
LW,Zach Parise,7200,Min@LA 10:30PM ET,8.333,Min
G,Jonathan Quick,7200,Min@LA 10:30PM ET,0.867,LA
G,Sergei Bobrovsky,7200,Tor@Cls 07:00PM ET,-0.1,Cls
G,Devan Dubnyk,7100,Min@LA 10:30PM ET,4.933,Min
G,Curtis McElhinney,7100,Tor@Cls 07:00PM ET,0.2,Cls
C,Ryan Getzlaf,7000,Col@Anh 10:00PM ET,1.833,Anh
RW,Corey Perry,7000,Col@Anh 10:00PM ET,0.333,Anh
G,Martin Jones,7000,SJ@NJ 07:00PM ET,9.133,SJ
G,Jimmy Howard,6900,Car@Det 07:30PM ET,7.7,Det
C,Joe Pavelski,6900,SJ@NJ 07:00PM ET,5.833,SJ
G,Petr Mrazek,6900,Car@Det 07:30PM ET,8.8,Det
G,Frederik Andersen,6900,Col@Anh 10:00PM ET,4.4,Anh
G,Karri Ramo,6800,Cgy@Wpg 08:00PM ET,2.8,Cgy
G,Jonas Hiller,6800,Cgy@Wpg 08:00PM ET,3.7,Cgy
C,Logan Couture,6800,SJ@NJ 07:00PM ET,2.167,SJ
C,Henrik Zetterberg,6700,Car@Det 07:30PM ET,6.167,Det
G,Cory Schneider,6700,SJ@NJ 07:00PM ET,2.4,NJ
RW,Chris Stewart,6600,Col@Anh 10:00PM ET,0.667,Anh
G,Ondrej Pavelec,6600,Cgy@Wpg 08:00PM ET,5.9,Wpg
G,Jhonas Enroth,6600,Min@LA 10:30PM ET,0,LA
G,Cam Ward,6500,Car@Det 07:30PM ET,0.8,Car
G,Alex Stalock,6500,SJ@NJ 07:00PM ET,0,SJ
G,Michael Hutchinson,6500,Cgy@Wpg 08:00PM ET,8,Wpg
G,Darcy Kuemper,6500,Min@LA 10:30PM ET,0,Min
C,Nathan MacKinnon,6500,Col@Anh 10:00PM ET,6.167,Col
LW,Alexander Steen,6400,StL@Van 10:00PM ET,5.125,StL
G,Eddie Lack,6400,Car@Det 07:30PM ET,2.2,Car
RW,Blake Wheeler,6300,Cgy@Wpg 08:00PM ET,4.75,Wpg
LW,James van Riemsdyk,6300,Tor@Cls 07:00PM ET,2.667,Tor
G,Anton Khudobin,6300,Col@Anh 10:00PM ET,-2,Anh
C,Ryan Johansen,6300,Tor@Cls 07:00PM ET,4.875,Cls
G,Keith Kinkaid,6300,SJ@NJ 07:00PM ET,1.4,NJ
G,Niklas Backstrom,6200,Min@LA 10:30PM ET,0,Min
G,Jonathan Bernier,6200,Tor@Cls 07:00PM ET,0.467,Tor
G,James Reimer,6200,Tor@Cls 07:00PM ET,1.6,Tor
G,Richard Bachman,6200,StL@Van 10:00PM ET,0,Van
LW,Gabriel Landeskog,6200,Col@Anh 10:00PM ET,6.833,Col
LW,Daniel Sedin,6100,StL@Van 10:00PM ET,4.125,Van
LW,Nick Foligno,6000,Tor@Cls 07:00PM ET,3.75,Cls
G,Joni Ortio,6000,Cgy@Wpg 08:00PM ET,0,Cgy
G,Reto Berra,6000,Col@Anh 10:00PM ET,1,Col
LW,Patrick Marleau,5800,SJ@NJ 07:00PM ET,5.333,SJ
LW,Brandon Saad,5800,Tor@Cls 07:00PM ET,3.625,Cls
LW,Johnny Gaudreau,5800,Cgy@Wpg 08:00PM ET,5.333,Cgy
C,Sean Monahan,5800,Cgy@Wpg 08:00PM ET,2.5,Cgy
RW,Radim Vrbata,5700,StL@Van 10:00PM ET,2.3,Van
C,Eric Staal,5700,Car@Det 07:30PM ET,3.333,Car
C,Jeff Carter,5700,Min@LA 10:30PM ET,1.667,LA
D,Brent Burns,5700,SJ@NJ 07:00PM ET,5.167,SJ
D,Mark Giordano,5700,Cgy@Wpg 08:00PM ET,2.5,Cgy
C,Anze Kopitar,5700,Min@LA 10:30PM ET,1.667,LA
RW,Marian Gaborik,5500,Min@LA 10:30PM ET,1.167,LA
D,Dustin Byfuglien,5500,Cgy@Wpg 08:00PM ET,3.625,Wpg
LW,Jaden Schwartz,5400,StL@Van 10:00PM ET,2.75,StL
LW,Scott Hartnell,5300,Tor@Cls 07:00PM ET,1.875,Cls
RW,Jason Pominville,5300,Min@LA 10:30PM ET,4,Min
LW,Andrew Ladd,5300,Cgy@Wpg 08:00PM ET,3.25,Wpg
C,Matt Duchene,5300,Col@Anh 10:00PM ET,0.667,Col
D,Justin Faulk,5300,Car@Det 07:30PM ET,4.833,Car
RW,Tyler Toffoli,5300,Min@LA 10:30PM ET,2.333,LA
RW,Jarome Iginla,5200,Col@Anh 10:00PM ET,2.5,Col
C,Ryan Kesler,5200,Col@Anh 10:00PM ET,1,Anh
D,Drew Doughty,5200,Min@LA 10:30PM ET,1.5,LA
LW,Tomas Tatar,5200,Car@Det 07:30PM ET,1.167,Det
LW,Mike Cammalleri,5100,SJ@NJ 07:00PM ET,3,NJ
C,David Backes,5100,StL@Van 10:00PM ET,1.875,StL
C,Bryan Little,5100,Cgy@Wpg 08:00PM ET,3,Wpg
D,Kevin Shattenkirk,5100,StL@Van 10:00PM ET,2.833,StL
RW,Gustav Nyquist,5100,Car@Det 07:30PM ET,2.5,Det
D,Mike Green,5000,Car@Det 07:30PM ET,2.167,Det
D,Alex Pietrangelo,5000,StL@Van 10:00PM ET,2.5,StL
D,Sami Vatanen,5000,Col@Anh 10:00PM ET,3.5,Anh
RW,Jiri Hudler,4900,Cgy@Wpg 08:00PM ET,4.667,Cgy
C,Paul Stastny,4900,StL@Van 10:00PM ET,3.75,StL
RW,Jakob Silfverberg,4900,Col@Anh 10:00PM ET,2.567,Anh
C,Joe Thornton,4800,SJ@NJ 07:00PM ET,5,SJ
LW,Thomas Vanek,4800,Min@LA 10:30PM ET,3.667,Min
D,Dennis Wideman,4800,Cgy@Wpg 08:00PM ET,3.667,Cgy
C,Nazem Kadri,4800,Tor@Cls 07:00PM ET,3.167,Tor
LW,Jeff Skinner,4800,Car@Det 07:30PM ET,1.667,Car
RW,Cam Atkinson,4800,Tor@Cls 07:00PM ET,2.25,Cls
LW,Patrick Maroon,4700,Col@Anh 10:00PM ET,0.833,Anh
LW,Justin Abdelkader,4700,Car@Det 07:30PM ET,6.5,Det
D,Tyson Barrie,4700,Col@Anh 10:00PM ET,2.333,Col
D,Dougie Hamilton,4700,Cgy@Wpg 08:00PM ET,2.333,Cgy
RW,Michael Frolik,4600,Cgy@Wpg 08:00PM ET,3,Cgy
C,Mark Scheifele,4600,Cgy@Wpg 08:00PM ET,3.25,Wpg
C,Elias Lindholm,4600,Car@Det 07:30PM ET,2.667,Car
C,Andrew Cogliano,4500,Col@Anh 10:00PM ET,1.167,Anh
C,Brandon Dubinsky,4500,Tor@Cls 07:00PM ET,2.625,Cls
C,Jordan Staal,4500,Car@Det 07:30PM ET,0.667,Car
D,Hampus Lindholm,4500,Col@Anh 10:00PM ET,2,Anh
D,Jack Johnson,4400,Tor@Cls 07:00PM ET,1.875,Cls
RW,Troy Brouwer,4400,StL@Van 10:00PM ET,4.5,StL
D,Kris Russell,4400,Cgy@Wpg 08:00PM ET,1.5,Cgy
D,Alexander Edler,4400,StL@Van 10:00PM ET,4.167,Van
C,Tyler Bozak,4400,Tor@Cls 07:00PM ET,1.833,Tor
C,Henrik Sedin,4300,StL@Van 10:00PM ET,2.125,Van
C,Brad Richards,4300,Car@Det 07:30PM ET,1.5,Det
C,Carl Soderberg,4300,Col@Anh 10:00PM ET,2,Col
D,Erik Johnson,4300,Col@Anh 10:00PM ET,4.667,Col
LW,Milan Lucic,4300,Min@LA 10:30PM ET,0.333,LA
C,Adam Henrique,4300,SJ@NJ 07:00PM ET,2.167,NJ
LW,Carl Hagelin,4300,Col@Anh 10:00PM ET,2,Anh
LW,Alex Tanguay,4200,Col@Anh 10:00PM ET,2.333,Col
D,Niklas Kronwall,4200,Car@Det 07:30PM ET,1.167,Det
D,Ryan Suter,4200,Min@LA 10:30PM ET,4,Min
RW,Drew Stafford,4200,Cgy@Wpg 08:00PM ET,3.125,Wpg
LW,Kris Versteeg,4200,Car@Det 07:30PM ET,1.5,Car
D,Jake Muzzin,4200,Min@LA 10:30PM ET,1.333,LA
RW,Tommy Wingels,4200,SJ@NJ 07:00PM ET,2.333,SJ
D,Jacob Trouba,4200,Cgy@Wpg 08:00PM ET,2.5,Wpg
C,Mikko Koivu,4100,Min@LA 10:30PM ET,2.833,Min
D,Dion Phaneuf,4100,Tor@Cls 07:00PM ET,4.167,Tor
C,Mathieu Perreault,4100,Cgy@Wpg 08:00PM ET,2.875,Wpg
D,Tyler Myers,4100,Cgy@Wpg 08:00PM ET,2.5,Wpg
C,Victor Rask,4100,Car@Det 07:30PM ET,2.167,Car
LW,Tomas Hertl,4100,SJ@NJ 07:00PM ET,3.833,SJ
RW,Johan Franzen,4000,Car@Det 07:30PM ET,1.75,Det
RW,Alexandre Burrows,4000,StL@Van 10:00PM ET,2.675,Van
RW,Michael Grabner,4000,Tor@Cls 07:00PM ET,0.5,Tor
C,Brandon Sutter,4000,StL@Van 10:00PM ET,3.125,Van
C,Mikael Granlund,4000,Min@LA 10:30PM ET,4.167,Min
D,Cam Fowler,4000,Col@Anh 10:00PM ET,1.333,Anh
C,Boone Jenner,4000,Tor@Cls 07:00PM ET,2.875,Cls
D,Morgan Rielly,4000,Tor@Cls 07:00PM ET,1.667,Tor
LW,Tanner Pearson,4000,Min@LA 10:30PM ET,0.5,LA
C,Shawn Horcoff,3900,Col@Anh 10:00PM ET,1.167,Anh
D,Kevin Bieksa,3900,Col@Anh 10:00PM ET,1.5,Anh
C,Jori Lehtera,3900,StL@Van 10:00PM ET,2.875,StL
LW,Jason Zucker,3900,Min@LA 10:30PM ET,3.333,Min
LW,Nikolaj Ehlers,3900,Cgy@Wpg 08:00PM ET,3.75,Wpg
LW,Joffrey Lupul,3800,Tor@Cls 07:00PM ET,2.167,Tor
C,Mikael Backlund,3800,Cgy@Wpg 08:00PM ET,1,Cgy
RW,Nino Niederreiter,3800,Min@LA 10:30PM ET,1.5,Min
C,Charlie Coyle,3800,Min@LA 10:30PM ET,4.5,Min
C,Dylan Larkin,3800,Car@Det 07:30PM ET,5.167,Det
RW,Brad Boyes,3700,Tor@Cls 07:00PM ET,1.333,Tor
LW,Dustin Brown,3700,Min@LA 10:30PM ET,2.5,LA
RW,Joel Ward,3700,SJ@NJ 07:00PM ET,2.333,SJ
LW,Mason Raymond,3700,Cgy@Wpg 08:00PM ET,3.25,Cgy
LW,Nathan Gerbe,3700,Car@Det 07:30PM ET,1.667,Car
RW,Kyle Palmieri,3700,SJ@NJ 07:00PM ET,2.667,NJ
C,Riley Sheahan,3700,Car@Det 07:30PM ET,1.167,Det
D,Francois Beauchemin,3600,Col@Anh 10:00PM ET,6.833,Col
RW,Pierre-Alexandre Parenteau,3600,Tor@Cls 07:00PM ET,0.733,Tor
D,Clayton Stoner,3600,Col@Anh 10:00PM ET,0.5,Anh
D,Christopher Tanev,3600,StL@Van 10:00PM ET,2.5,Van
LW,Matt Nieto,3600,SJ@NJ 07:00PM ET,3.333,SJ
C,Bo Horvat,3600,StL@Van 10:00PM ET,2.375,Van
C,Sam Bennett,3600,Cgy@Wpg 08:00PM ET,0.333,Cgy
D,Christian Ehrhoff,3500,Min@LA 10:30PM ET,1.333,LA
LW,Jiri Tlusty,3500,SJ@NJ 07:00PM ET,2.167,NJ
RW,Jannik Hansen,3500,StL@Van 10:00PM ET,3.5,Van
RW,David Jones,3500,Cgy@Wpg 08:00PM ET,2,Cgy
D,Matt Dumba,3500,Min@LA 10:30PM ET,2.333,Min
C,John Mitchell,3400,Col@Anh 10:00PM ET,4.5,Col
D,Marc-Edouard Vlasic,3400,SJ@NJ 07:00PM ET,3.333,SJ
C,Shawn Matthias,3400,Tor@Cls 07:00PM ET,1.75,Tor
D,Alec Martinez,3400,Min@LA 10:30PM ET,2.333,LA
LW,Matt Calvert,3400,Tor@Cls 07:00PM ET,1.25,Cls
D,Jared Spurgeon,3400,Min@LA 10:30PM ET,1.667,Min
D,Adam Larsson,3400,SJ@NJ 07:00PM ET,1.5,NJ
C,Rickard Rakell,3400,Col@Anh 10:00PM ET,1.167,Anh
D,Noah Hanifin,3400,Car@Det 07:30PM ET,1.833,Car
C,Travis Zajac,3300,SJ@NJ 07:00PM ET,1,NJ
RW,Lee Stempniak,3300,SJ@NJ 07:00PM ET,2.167,NJ
C,Peter Holland,3300,Tor@Cls 07:00PM ET,1.833,Tor
D,David Savard,3300,Tor@Cls 07:00PM ET,1.625,Cls
RW,Justin Fontaine,3300,Min@LA 10:30PM ET,3,Min
C,Ryan Carter,3200,Min@LA 10:30PM ET,0.833,Min
RW,Dmitrij Jaskin,3200,StL@Van 10:00PM ET,0.625,StL
C,Trevor Lewis,3100,Min@LA 10:30PM ET,0.833,LA
D,Toby Enstrom,3100,Cgy@Wpg 08:00PM ET,0.75,Wpg
D,Jake Gardiner,3100,Tor@Cls 07:00PM ET,1.333,Tor
D,Eric Gelinas,3100,SJ@NJ 07:00PM ET,2,NJ
D,Damon Severson,3100,SJ@NJ 07:00PM ET,1.25,NJ
C,Alexander Wennberg,3100,Tor@Cls 07:00PM ET,0,Cls
D,John-Michael Liles,3000,Car@Det 07:30PM ET,1.833,Car
RW,Rene Bourque,3000,Tor@Cls 07:00PM ET,1.625,Cls
LW,Blake Comeau,3000,Col@Anh 10:00PM ET,1.333,Col
D,Marco Scandella,3000,Min@LA 10:30PM ET,2.5,Min
C,Mark Arcobello,3000,Tor@Cls 07:00PM ET,0.833,Tor
C,Andrej Nestrasil,3000,Car@Det 07:30PM ET,0.833,Car
D,Ryan Murphy,3000,Car@Det 07:30PM ET,2.5,Car
LW,Adam Lowry,3000,Cgy@Wpg 08:00PM ET,1.875,Wpg
D,Josh Manson,3000,Col@Anh 10:00PM ET,1.5,Anh
C,Leo Komarov,3000,Tor@Cls 07:00PM ET,1,Tor
C,Josh Jooris,3000,Cgy@Wpg 08:00PM ET,0.5,Cgy
D,Jay Bouwmeester,2900,StL@Van 10:00PM ET,2.75,StL
D,Paul Martin,2900,SJ@NJ 07:00PM ET,1,SJ
C,Kyle Brodziak,2900,StL@Van 10:00PM ET,0.125,StL
RW,David Clarkson,2900,Tor@Cls 07:00PM ET,0,Cls
LW,Daniel Winnik,2900,Tor@Cls 07:00PM ET,3.5,Tor
D,Andy Greene,2900,SJ@NJ 07:00PM ET,2.167,NJ
D,Nick Holden,2900,Col@Anh 10:00PM ET,1.5,Col
D,Yannick Weber,2900,StL@Van 10:00PM ET,1,Van
D,Justin Braun,2900,SJ@NJ 07:00PM ET,1.5,SJ
LW,Teemu Pulkkinen,2900,Car@Det 07:30PM ET,2.833,Det
D,Jonas Brodin,2900,Min@LA 10:30PM ET,0.833,Min
LW,Stefan Matteau,2900,SJ@NJ 07:00PM ET,0.5,NJ
C,Scott Gomez,2800,StL@Van 10:00PM ET,0,StL
RW,Scottie Upshall,2800,StL@Van 10:00PM ET,2.667,StL
RW,Tim Jackman,2800,Col@Anh 10:00PM ET,0,Anh
D,Dan Hamhuis,2800,StL@Van 10:00PM ET,1.625,Van
D,David Schlemko,2800,SJ@NJ 07:00PM ET,1.5,NJ
LW,Chris Terry,2800,Car@Det 07:30PM ET,0.667,Car
C,Nick Spaling,2800,Tor@Cls 07:00PM ET,1.333,Tor
D,Kevin Connauton,2800,Tor@Cls 07:00PM ET,0.75,Cls
C,Alex Burmistrov,2800,Cgy@Wpg 08:00PM ET,1.875,Wpg
