"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"LW","Alex Ovechkin",9300,"Was@Fla 07:00PM ET",5.563,"Was"
"LW","Zach Parise",8000,"Min@StL 08:00PM ET",4.550,"Min"
"G","Braden Holtby",8000,"Was@Fla 07:00PM ET",4.950,"Was"
"C","Sidney Crosby",7800,"Pit@Tor 07:00PM ET",2.850,"Pit"
"G","Marc-Andre Fleury",7700,"Pit@Tor 07:00PM ET",5.644,"Pit"
"G","Roberto Luongo",7600,"Was@Fla 07:00PM ET",5.275,"Fla"
"RW","Vladimir Tarasenko",7600,"Min@StL 08:00PM ET",5.150,"StL"
"G","Tuukka Rask",7400,"Bos@TB 07:00PM ET",3.543,"Bos"
"C","Steven Stamkos",7400,"Bos@TB 07:00PM ET",3.000,"TB"
"RW","Phil Kessel",7300,"Pit@Tor 07:00PM ET",3.400,"Pit"
"G","Ben Bishop",7300,"Bos@TB 07:00PM ET",4.120,"TB"
"C","Evgeni Malkin",7200,"Pit@Tor 07:00PM ET",4.050,"Pit"
"RW","Blake Wheeler",7200,"Wpg@Cls 07:00PM ET",4.850,"Wpg"
"G","Devan Dubnyk",7200,"Min@StL 08:00PM ET",4.489,"Min"
"G","Brian Elliott",7200,"Min@StL 08:00PM ET",4.520,"StL"
"G","Jake Allen",7200,"Min@StL 08:00PM ET",5.320,"StL"
"G","Andrew Hammond",7100,"Det@Ott 07:00PM ET",4.700,"Ott"
"C","Henrik Zetterberg",7000,"Det@Ott 07:00PM ET",3.850,"Det"
"G","Craig Anderson",7000,"Det@Ott 07:00PM ET",4.943,"Ott"
"G","Jeff Zatkoff",7000,"Pit@Tor 07:00PM ET",10.000,"Pit"
"G","Petr Mrazek",7000,"Det@Ott 07:00PM ET",5.160,"Det"
"G","Jimmy Howard",6900,"Det@Ott 07:00PM ET",4.233,"Det"
"G","Philipp Grubauer",6900,"Was@Fla 07:00PM ET",2.800,"Was"
"G","Al Montoya",6800,"Was@Fla 07:00PM ET",7.000,"Fla"
"D","Erik Karlsson",6800,"Det@Ott 07:00PM ET",3.950,"Ott"
"G","Sergei Bobrovsky",6800,"Wpg@Cls 07:00PM ET",1.911,"Cls"
"G","Darcy Kuemper",6800,"Min@StL 08:00PM ET",1.900,"Min"
"C","Nicklas Backstrom",6700,"Was@Fla 07:00PM ET",5.000,"Was"
"G","Curtis McElhinney",6600,"Wpg@Cls 07:00PM ET",1.467,"Cls"
"G","Karri Ramo",6600,"Cgy@Edm 10:00PM ET",1.667,"Cgy"
"G","Ondrej Pavelec",6600,"Wpg@Cls 07:00PM ET",3.714,"Wpg"
"G","Jonas Hiller",6600,"Cgy@Edm 10:00PM ET",1.657,"Cgy"
"G","Michael Hutchinson",6600,"Wpg@Cls 07:00PM ET",7.800,"Wpg"
"LW","Alexander Steen",6500,"Min@StL 08:00PM ET",4.050,"StL"
"LW","James van Riemsdyk",6500,"Pit@Tor 07:00PM ET",3.222,"Tor"
"G","Jonas Gustavsson",6500,"Bos@TB 07:00PM ET",4.800,"Bos"
"D","John Carlson",6400,"Was@Fla 07:00PM ET",4.278,"Was"
"LW","Taylor Hall",6400,"Cgy@Edm 10:00PM ET",4.455,"Edm"
"G","Jonathan Bernier",6300,"Pit@Tor 07:00PM ET",1.914,"Tor"
"C","Kyle Turris",6300,"Det@Ott 07:00PM ET",4.320,"Ott"
"G","Cam Talbot",6300,"Cgy@Edm 10:00PM ET",3.178,"Edm"
"G","James Reimer",6200,"Pit@Tor 07:00PM ET",2.000,"Tor"
"G","Anders Nilsson",6200,"Cgy@Edm 10:00PM ET",3.800,"Edm"
"G","Niklas Backstrom",6100,"Min@StL 08:00PM ET",0.000,"Min"
"LW","Johnny Gaudreau",6100,"Cgy@Edm 10:00PM ET",3.364,"Cgy"
"C","Patrice Bergeron",6000,"Bos@TB 07:00PM ET",4.333,"Bos"
"D","Mark Giordano",6000,"Cgy@Edm 10:00PM ET",3.591,"Cgy"
"RW","T.J. Oshie",6000,"Was@Fla 07:00PM ET",4.500,"Was"
"G","Joni Ortio",6000,"Cgy@Edm 10:00PM ET",0.800,"Cgy"
"G","Kristers Gudlevskis",6000,"Bos@TB 07:00PM ET",5.200,"TB"
