"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Tyler Seguin",8500,"Dal@Tor 07:30PM ET",5.682,"Dal"
"LW","Jamie Benn",8000,"Dal@Tor 07:30PM ET",5.500,"Dal"
"RW","Patrick Kane",7800,"LA@Chi 08:30PM ET",5.000,"Chi"
"G","Corey Crawford",7700,"LA@Chi 08:30PM ET",6.125,"Chi"
"G","Jonathan Quick",7500,"LA@Chi 08:30PM ET",5.356,"LA"
"G","Ryan Miller",7300,"Phi@Van 10:00PM ET",4.480,"Van"
"G","Scott Darling",7000,"LA@Chi 08:30PM ET",2.533,"Chi"
"G","Steve Mason",6900,"Phi@Van 10:00PM ET",3.171,"Phi"
"C","Claude Giroux",6800,"Phi@Van 10:00PM ET",2.970,"Phi"
"G","Jhonas Enroth",6800,"LA@Chi 08:30PM ET",9.800,"LA"
"G","Antti Niemi",6700,"Dal@Tor 07:30PM ET",5.850,"Dal"
"G","Kari Lehtonen",6600,"Dal@Tor 07:30PM ET",4.650,"Dal"
"RW","Jakub Voracek",6500,"Phi@Van 10:00PM ET",3.150,"Phi"
"LW","Daniel Sedin",6400,"Phi@Van 10:00PM ET",3.909,"Van"
"C","Jonathan Toews",6400,"LA@Chi 08:30PM ET",3.318,"Chi"
"G","Richard Bachman",6400,"Phi@Van 10:00PM ET",5.600,"Van"
"G","Jonathan Bernier",6300,"Dal@Tor 07:30PM ET",1.875,"Tor"
"G","Michal Neuvirth",6300,"Phi@Van 10:00PM ET",5.320,"Phi"
"LW","James van Riemsdyk",6300,"Dal@Tor 07:30PM ET",3.050,"Tor"
"G","James Reimer",6200,"Dal@Tor 07:30PM ET",2.000,"Tor"
"G","Jason LaBarbera",6100,"Phi@Van 10:00PM ET",0,"Phi"
"LW","Patrick Sharp",6000,"Dal@Tor 07:30PM ET",3.591,"Dal"
"C","Jason Spezza",5900,"Dal@Tor 07:30PM ET",4.091,"Dal"
"RW","Radim Vrbata",5800,"Phi@Van 10:00PM ET",3.382,"Van"
"C","Jeff Carter",5700,"LA@Chi 08:30PM ET",3.900,"LA"
"RW","Tyler Toffoli",5600,"LA@Chi 08:30PM ET",4.350,"LA"
"RW","Marian Hossa",5500,"LA@Chi 08:30PM ET",2.364,"Chi"
"D","Drew Doughty",5500,"LA@Chi 08:30PM ET",3.200,"LA"
"C","Anze Kopitar",5400,"LA@Chi 08:30PM ET",2.150,"LA"
"RW","Wayne Simmonds",5300,"Phi@Van 10:00PM ET",2.200,"Phi"
"D","John Klingberg",5100,"Dal@Tor 07:30PM ET",3.636,"Dal"
"RW","Marian Gaborik",5000,"LA@Chi 08:30PM ET",1.650,"LA"
"C","Nazem Kadri",5000,"Dal@Tor 07:30PM ET",3.450,"Tor"
"D","Brent Seabrook",4900,"LA@Chi 08:30PM ET",3.636,"Chi"
"LW","Artemi Panarin",4800,"LA@Chi 08:30PM ET",3.182,"Chi"
"D","Mark Streit",4700,"Phi@Van 10:00PM ET",3.700,"Phi"
"D","Alexander Edler",4700,"Phi@Van 10:00PM ET",3.400,"Van"
"LW","Milan Lucic",4600,"LA@Chi 08:30PM ET",2.200,"LA"
"C","Henrik Sedin",4500,"Phi@Van 10:00PM ET",2.045,"Van"
"C","Brandon Sutter",4400,"Phi@Van 10:00PM ET",3.136,"Van"
"D","Jake Muzzin",4400,"LA@Chi 08:30PM ET",2.900,"LA"
"D","Dion Phaneuf",4300,"Dal@Tor 07:30PM ET",2.850,"Tor"
"C","Brayden Schenn",4300,"Phi@Van 10:00PM ET",2.889,"Phi"
"C","Cody Eakin",4300,"Dal@Tor 07:30PM ET",2.500,"Dal"
"D","Alex Goligoski",4100,"Dal@Tor 07:30PM ET",2.818,"Dal"
"C","Tyler Bozak",4100,"Dal@Tor 07:30PM ET",1.750,"Tor"
"C","Sam Gagner",4000,"Phi@Van 10:00PM ET",2.300,"Phi"
"D","Morgan Rielly",4000,"Dal@Tor 07:30PM ET",2.850,"Tor"
"RW","Ales Hemsky",3900,"Dal@Tor 07:30PM ET",2.545,"Dal"
"LW","Dustin Brown",3900,"LA@Chi 08:30PM ET",2.750,"LA"
"RW","Alexandre Burrows",3900,"Phi@Van 10:00PM ET",2.518,"Van"
"C","Artem Anisimov",3900,"LA@Chi 08:30PM ET",2.409,"Chi"
"D","Michael Del Zotto",3900,"Phi@Van 10:00PM ET",1.900,"Phi"
"LW","Tanner Pearson",3900,"LA@Chi 08:30PM ET",1.650,"LA"
"LW","Teuvo Teravainen",3800,"LA@Chi 08:30PM ET",1.773,"Chi"
"LW","Michael Raffl",3700,"Phi@Van 10:00PM ET",1.550,"Phi"
"LW","Joffrey Lupul",3600,"Dal@Tor 07:30PM ET",2.500,"Tor"
"D","Trevor Daley",3500,"LA@Chi 08:30PM ET",1.682,"Chi"
"RW","Michael Grabner",3500,"Dal@Tor 07:30PM ET",1.278,"Tor"
"RW","Matt Read",3500,"Phi@Van 10:00PM ET",1.750,"Phi"
"RW","Brad Boyes",3400,"Dal@Tor 07:30PM ET",1.450,"Tor"
"D","Christopher Tanev",3400,"Phi@Van 10:00PM ET",2.364,"Van"
"C","Vincent Lecavalier",3300,"Phi@Van 10:00PM ET",0.600,"Phi"
"RW","Pierre-Alexandre Parenteau",3300,"Dal@Tor 07:30PM ET",1.140,"Tor"
"C","Shawn Matthias",3300,"Dal@Tor 07:30PM ET",1.833,"Tor"
"D","Jason Demers",3300,"Dal@Tor 07:30PM ET",3.111,"Dal"
"C","Leo Komarov",3300,"Dal@Tor 07:30PM ET",2.400,"Tor"
"RW","Valeri Nichushkin",3300,"Dal@Tor 07:30PM ET",1.389,"Dal"
"RW","Jannik Hansen",3200,"Phi@Van 10:00PM ET",2.000,"Van"
"C","Sean Couturier",3200,"Phi@Van 10:00PM ET",1.714,"Phi"
"C","Bo Horvat",3200,"Phi@Van 10:00PM ET",1.545,"Van"
"D","Christian Ehrhoff",3100,"LA@Chi 08:30PM ET",1.600,"LA"
"C","Vernon Fiddler",3000,"Dal@Tor 07:30PM ET",2.227,"Dal"
"LW","Daniel Winnik",3000,"Dal@Tor 07:30PM ET",2.400,"Tor"
"C","Trevor Lewis",3000,"LA@Chi 08:30PM ET",2.000,"LA"
"D","Alec Martinez",3000,"LA@Chi 08:30PM ET",1.800,"LA"
"D","Jake Gardiner",3000,"Dal@Tor 07:30PM ET",1.571,"Tor"
"C","Peter Holland",3000,"Dal@Tor 07:30PM ET",1.333,"Tor"
"RW","Ryan Garbutt",3000,"LA@Chi 08:30PM ET",1.550,"Chi"
"RW","Andrew Shaw",3000,"LA@Chi 08:30PM ET",0.909,"Chi"
"D","Viktor Svedberg",3000,"LA@Chi 08:30PM ET",1.900,"Chi"
"D","Trevor van Riemsdyk",3000,"LA@Chi 08:30PM ET",1.909,"Chi"
"C","R.J. Umberger",2900,"Phi@Van 10:00PM ET",1.938,"Phi"
"D","Niklas Hjalmarsson",2900,"LA@Chi 08:30PM ET",1.864,"Chi"
"C","Colton Sceviour",2900,"Dal@Tor 07:30PM ET",1.200,"Dal"
"D","Radko Gudas",2900,"Phi@Van 10:00PM ET",1.313,"Phi"
"C","Scott Laughton",2900,"Phi@Van 10:00PM ET",2.300,"Phi"
"C","Mattias Janmark",2900,"Dal@Tor 07:30PM ET",2.045,"Dal"
"D","Johnny Oduya",2800,"Dal@Tor 07:30PM ET",1.818,"Dal"
"RW","Ryan White",2800,"Phi@Van 10:00PM ET",1.550,"Phi"
"D","Yannick Weber",2800,"Phi@Van 10:00PM ET",1.071,"Van"
"D","Brayden McNabb",2800,"LA@Chi 08:30PM ET",1.722,"LA"
"LW","Antoine Roussel",2800,"Dal@Tor 07:30PM ET",2.045,"Dal"
"D","Ben Hutton",2800,"Phi@Van 10:00PM ET",2.136,"Van"
"C","Jared McCann",2800,"Phi@Van 10:00PM ET",2.450,"Van"
"D","Luca Sbisa",2700,"Phi@Van 10:00PM ET",2.000,"Van"
"C","Chris VandeVelde",2700,"Phi@Van 10:00PM ET",1.750,"Phi"
"D","Nick Schultz",2600,"Phi@Van 10:00PM ET",1.250,"Phi"
"RW","Adam Cracknell",2600,"Phi@Van 10:00PM ET",1.500,"Van"
"RW","Derek Dorsett",2600,"Phi@Van 10:00PM ET",2.045,"Van"
"D","Matt Hunwick",2600,"Dal@Tor 07:30PM ET",1.700,"Tor"
"D","Luke Schenn",2600,"Phi@Van 10:00PM ET",2.000,"Phi"
"D","Jamie McBain",2600,"LA@Chi 08:30PM ET",1.900,"LA"
"LW","Kyle Clifford",2600,"LA@Chi 08:30PM ET",0.550,"LA"
"LW","Andy Andreoff",2600,"LA@Chi 08:30PM ET",0.667,"LA"
"D","Erik Gustafsson",2600,"LA@Chi 08:30PM ET",1.250,"Chi"
