"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"LW","Alex Ovechkin",9400,"Tor@Was 07:00PM ET",5.636,"Was"
"G","Carey Price",8200,"Bos@Mon 07:00PM ET",6.667,"Mon"
"G","Pekka Rinne",8100,"StL@Nsh 08:00PM ET",5.580,"Nsh"
"G","Henrik Lundqvist",7900,"NYR@Ari 09:00PM ET",6.291,"NYR"
"LW","Zach Parise",7900,"TB@Min 08:00PM ET",4.042,"Min"
"G","Braden Holtby",7900,"Tor@Was 07:00PM ET",4.560,"Was"
"C","Sidney Crosby",7800,"Pit@Cgy 10:00PM ET",2.885,"Pit"
"LW","Max Pacioretty",7800,"Bos@Mon 07:00PM ET",4.167,"Mon"
"G","Andrei Vasilevskiy",7800,"TB@Min 08:00PM ET",7.200,"TB"
"G","Marc-Andre Fleury",7700,"Pit@Cgy 10:00PM ET",6.055,"Pit"
"RW","Vladimir Tarasenko",7600,"StL@Nsh 08:00PM ET",4.917,"StL"
"G","Antti Raanta",7600,"NYR@Ari 09:00PM ET",7.900,"NYR"
"C","Joe Pavelski",7500,"Anh@SJ 10:30PM ET",5.054,"SJ"
"C","Steven Stamkos",7500,"TB@Min 08:00PM ET",3.100,"TB"
"G","Mike Condon",7500,"Bos@Mon 07:00PM ET",5.800,"Mon"
"G","Ben Bishop",7400,"TB@Min 08:00PM ET",4.067,"TB"
"G","Tuukka Rask",7300,"Bos@Mon 07:00PM ET",2.778,"Bos"
"RW","Phil Kessel",7300,"Pit@Cgy 10:00PM ET",3.423,"Pit"
"G","Martin Jones",7300,"Anh@SJ 10:30PM ET",5.120,"SJ"
"G","Jake Allen",7300,"StL@Nsh 08:00PM ET",5.625,"StL"
"G","Craig Anderson",7200,"Ott@Car 07:00PM ET",5.200,"Ott"
"C","Evgeni Malkin",7200,"Pit@Cgy 10:00PM ET",3.385,"Pit"
"RW","Blake Wheeler",7200,"Phi@Wpg 07:00PM ET",4.729,"Wpg"
"G","Devan Dubnyk",7100,"TB@Min 08:00PM ET",3.927,"Min"
"G","Brian Elliott",7100,"StL@Nsh 08:00PM ET",3.467,"StL"
"G","Jeff Zatkoff",7000,"Pit@Cgy 10:00PM ET",8.700,"Pit"
"G","Frederik Andersen",7000,"Anh@SJ 10:30PM ET",4.582,"Anh"
"LW","Rick Nash",6900,"NYR@Ari 09:00PM ET",2.458,"NYR"
"RW","Corey Perry",6900,"Anh@SJ 10:30PM ET",2.500,"Anh"
"D","Erik Karlsson",6900,"Ott@Car 07:00PM ET",4.000,"Ott"
"G","Carter Hutton",6900,"StL@Nsh 08:00PM ET",4.200,"Nsh"
"G","Philipp Grubauer",6900,"Tor@Was 07:00PM ET",5.000,"Was"
"G","Andrew Hammond",6900,"Ott@Car 07:00PM ET",4.700,"Ott"
"G","Steve Mason",6800,"Phi@Wpg 07:00PM ET",3.150,"Phi"
"D","Brent Burns",6700,"Anh@SJ 10:30PM ET",4.977,"SJ"
"G","Karri Ramo",6700,"Pit@Cgy 10:00PM ET",3.200,"Cgy"
"C","Claude Giroux",6700,"Phi@Wpg 07:00PM ET",2.862,"Phi"
"G","Dustin Tokarski",6700,"Bos@Mon 07:00PM ET",0,"Mon"
"G","Darcy Kuemper",6700,"TB@Min 08:00PM ET",1.267,"Min"
"LW","Alexander Steen",6600,"StL@Nsh 08:00PM ET",4.269,"StL"
"C","Nicklas Backstrom",6600,"Tor@Was 07:00PM ET",4.000,"Was"
"G","Michael Hutchinson",6600,"Phi@Wpg 07:00PM ET",5.333,"Wpg"
"G","Ondrej Pavelec",6500,"Phi@Wpg 07:00PM ET",3.880,"Wpg"
"G","Jonas Hiller",6500,"Pit@Cgy 10:00PM ET",1.657,"Cgy"
"G","Michal Neuvirth",6500,"Phi@Wpg 07:00PM ET",5.457,"Phi"
"G","Anton Khudobin",6500,"Anh@SJ 10:30PM ET",2.200,"Anh"
"G","Alex Stalock",6500,"Anh@SJ 10:30PM ET",2.550,"SJ"
"G","Jonas Gustavsson",6500,"Bos@Mon 07:00PM ET",5.267,"Bos"
"G","Cam Ward",6400,"Ott@Car 07:00PM ET",3.600,"Car"
"C","Kyle Turris",6400,"Ott@Car 07:00PM ET",4.415,"Ott"
"G","James Reimer",6400,"Tor@Was 07:00PM ET",3.429,"Tor"
"D","John Carlson",6400,"Tor@Was 07:00PM ET",4.083,"Was"
"RW","James Neal",6300,"StL@Nsh 08:00PM ET",4.558,"Nsh"
"LW","James van Riemsdyk",6300,"Tor@Was 07:00PM ET",2.885,"Tor"
"RW","Jakub Voracek",6300,"Phi@Wpg 07:00PM ET",2.808,"Phi"
"G","Eddie Lack",6300,"Ott@Car 07:00PM ET",1.600,"Car"
"G","Mike Smith",6200,"NYR@Ari 09:00PM ET",3.891,"Ari"
"D","Roman Josi",6200,"StL@Nsh 08:00PM ET",4.667,"Nsh"
"G","Joni Ortio",6200,"Pit@Cgy 10:00PM ET",0.800,"Cgy"
"C","Tomas Plekanec",6100,"Bos@Mon 07:00PM ET",3.633,"Mon"
"G","Niklas Backstrom",6100,"TB@Min 08:00PM ET",0.000,"Min"
