"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Carey Price",8500,"Wpg@Mon 07:00PM ET",6.667,"Mon"
"C","John Tavares",8300,"Buf@NYI 07:30PM ET",4.400,"NYI"
"G","Pekka Rinne",8100,"Nsh@Anh 08:00PM ET",5.489,"Nsh"
"LW","Max Pacioretty",7700,"Wpg@Mon 07:00PM ET",4.500,"Mon"
"RW","Blake Wheeler",7200,"Wpg@Mon 07:00PM ET",4.955,"Wpg"
"G","Mike Condon",7200,"Wpg@Mon 07:00PM ET",6.933,"Mon"
"G","Jaroslav Halak",7100,"Buf@NYI 07:30PM ET",5.760,"NYI"
"G","Carter Hutton",7000,"Nsh@Anh 08:00PM ET",7.600,"Nsh"
"RW","Corey Perry",6900,"Nsh@Anh 08:00PM ET",2.000,"Anh"
"G","Frederik Andersen",6900,"Nsh@Anh 08:00PM ET",3.500,"Anh"
"G","Thomas Greiss",6800,"Buf@NYI 07:30PM ET",6.080,"NYI"
"C","Ryan Getzlaf",6700,"Nsh@Anh 08:00PM ET",1.500,"Anh"
"G","Ondrej Pavelec",6600,"Wpg@Mon 07:00PM ET",3.850,"Wpg"
"G","Michael Hutchinson",6600,"Wpg@Mon 07:00PM ET",7.800,"Wpg"
"G","Anton Khudobin",6400,"Nsh@Anh 08:00PM ET",2.200,"Anh"
"RW","James Neal",6300,"Nsh@Anh 08:00PM ET",4.970,"Nsh"
"G","Chad Johnson",6200,"Buf@NYI 07:30PM ET",2.444,"Buf"
"RW","Kyle Okposo",6100,"Buf@NYI 07:30PM ET",3.227,"NYI"
"G","Linus Ullmark",6100,"Buf@NYI 07:30PM ET",4.100,"Buf"
"C","Tomas Plekanec",6000,"Wpg@Mon 07:00PM ET",3.750,"Mon"
"D","P.K. Subban",6000,"Wpg@Mon 07:00PM ET",3.417,"Mon"
"G","Jean-Francois Berube",6000,"Buf@NYI 07:30PM ET",2.000,"NYI"
"D","Roman Josi",6000,"Nsh@Anh 08:00PM ET",4.550,"Nsh"
"D","Dustin Byfuglien",5800,"Wpg@Mon 07:00PM ET",3.091,"Wpg"
"LW","Filip Forsberg",5700,"Nsh@Anh 08:00PM ET",3.240,"Nsh"
"LW","Andrew Ladd",5600,"Wpg@Mon 07:00PM ET",3.455,"Wpg"
"RW","Brendan Gallagher",5500,"Wpg@Mon 07:00PM ET",3.833,"Mon"
"D","Johnny Boychuk",5300,"Buf@NYI 07:30PM ET",3.909,"NYI"
"D","Shea Weber",5300,"Nsh@Anh 08:00PM ET",3.250,"Nsh"
"C","Bryan Little",5300,"Wpg@Mon 07:00PM ET",3.773,"Wpg"
"RW","Chris Stewart",5300,"Nsh@Anh 08:00PM ET",0.600,"Anh"
"D","Sami Vatanen",5200,"Nsh@Anh 08:00PM ET",2.300,"Anh"
"C","Jack Eichel",5200,"Buf@NYI 07:30PM ET",3.091,"Buf"
"LW","Ryan O'Reilly",5100,"Buf@NYI 07:30PM ET",4.182,"Buf"
"C","Tyler Ennis",4900,"Buf@NYI 07:30PM ET",2.791,"Buf"
"C","Anders Lee",4900,"Buf@NYI 07:30PM ET",2.955,"NYI"
"D","Andrei Markov",4800,"Wpg@Mon 07:00PM ET",3.417,"Mon"
"C","Ryan Kesler",4800,"Nsh@Anh 08:00PM ET",1.650,"Anh"
"C","Frans Nielsen",4800,"Buf@NYI 07:30PM ET",4.200,"NYI"
"RW","Craig Smith",4800,"Nsh@Anh 08:00PM ET",2.300,"Nsh"
"C","Mark Scheifele",4700,"Wpg@Mon 07:00PM ET",3.000,"Wpg"
"RW","Nikolaj Ehlers",4700,"Wpg@Mon 07:00PM ET",3.955,"Wpg"
"C","Alex Galchenyuk",4600,"Wpg@Mon 07:00PM ET",2.583,"Mon"
"C","Mike Fisher",4400,"Nsh@Anh 08:00PM ET",1.700,"Nsh"
"RW","Drew Stafford",4400,"Wpg@Mon 07:00PM ET",2.818,"Wpg"
"C","Ryan Strome",4400,"Buf@NYI 07:30PM ET",2.278,"NYI"
"D","Hampus Lindholm",4400,"Nsh@Anh 08:00PM ET",2.850,"Anh"
"RW","Jakob Silfverberg",4300,"Nsh@Anh 08:00PM ET",1.570,"Anh"
"D","Tyler Myers",4200,"Wpg@Mon 07:00PM ET",2.318,"Wpg"
"LW","Josh Bailey",4100,"Buf@NYI 07:30PM ET",2.364,"NYI"
"D","Rasmus Ristolainen",4100,"Buf@NYI 07:30PM ET",3.227,"Buf"
"LW","Matt Moulson",4000,"Buf@NYI 07:30PM ET",2.245,"Buf"
"C","Mathieu Perreault",4000,"Wpg@Mon 07:00PM ET",2.273,"Wpg"
"D","Jacob Trouba",4000,"Wpg@Mon 07:00PM ET",1.955,"Wpg"
"D","Seth Jones",4000,"Nsh@Anh 08:00PM ET",2.550,"Nsh"
"C","Mike Ribeiro",3900,"Nsh@Anh 08:00PM ET",1.850,"Nsh"
"C","Andrew Cogliano",3900,"Nsh@Anh 08:00PM ET",1.000,"Anh"
"LW","Patrick Maroon",3900,"Nsh@Anh 08:00PM ET",0.700,"Anh"
"C","Brock Nelson",3900,"Buf@NYI 07:30PM ET",2.227,"NYI"
"LW","Carl Hagelin",3900,"Nsh@Anh 08:00PM ET",1.500,"Anh"
"D","Kevin Bieksa",3800,"Nsh@Anh 08:00PM ET",2.000,"Anh"
"D","Cam Fowler",3800,"Nsh@Anh 08:00PM ET",1.950,"Anh"
"C","David Desharnais",3700,"Wpg@Mon 07:00PM ET",2.500,"Mon"
"LW","Colin Wilson",3700,"Nsh@Anh 08:00PM ET",2.400,"Nsh"
"D","Travis Hamonic",3700,"Buf@NYI 07:30PM ET",2.273,"NYI"
"RW","Brian Gionta",3600,"Buf@NYI 07:30PM ET",2.000,"Buf"
"LW","Tomas Fleischmann",3600,"Wpg@Mon 07:00PM ET",2.208,"Mon"
"D","Ryan Ellis",3600,"Nsh@Anh 08:00PM ET",2.750,"Nsh"
"D","Nick Leddy",3600,"Buf@NYI 07:30PM ET",1.682,"NYI"
"C","Shawn Horcoff",3500,"Nsh@Anh 08:00PM ET",1.389,"Anh"
"RW","Alexander Semin",3500,"Wpg@Mon 07:00PM ET",1.409,"Mon"
"LW","Nikolay Kulemin",3500,"Buf@NYI 07:30PM ET",2.136,"NYI"
"D","Cody Franson",3400,"Buf@NYI 07:30PM ET",2.455,"Buf"
"D","Clayton Stoner",3300,"Nsh@Anh 08:00PM ET",0.357,"Anh"
"C","Lars Eller",3300,"Wpg@Mon 07:00PM ET",2.042,"Mon"
"D","Jeff Petry",3300,"Wpg@Mon 07:00PM ET",2.458,"Mon"
"C","Mikhail Grabovski",3200,"Buf@NYI 07:30PM ET",1.955,"NYI"
"RW","Dale Weise",3200,"Wpg@Mon 07:00PM ET",3.542,"Mon"
"C","Brian Flynn",3200,"Wpg@Mon 07:00PM ET",1.750,"Mon"
"D","Marek Zidlicky",3100,"Buf@NYI 07:30PM ET",1.550,"NYI"
"LW","Jamie McGinn",3100,"Buf@NYI 07:30PM ET",1.727,"Buf"
"RW","Devante Smith-Pelly",3100,"Wpg@Mon 07:00PM ET",1.500,"Mon"
"C","Zemgus Girgensons",3100,"Buf@NYI 07:30PM ET",1.591,"Buf"
"RW","Torrey Mitchell",3000,"Wpg@Mon 07:00PM ET",2.958,"Mon"
"D","Toby Enstrom",3000,"Wpg@Mon 07:00PM ET",0.909,"Wpg"
"D","Calvin de Haan",3000,"Buf@NYI 07:30PM ET",2.409,"NYI"
"C","Adam Lowry",3000,"Wpg@Mon 07:00PM ET",1.818,"Wpg"
"LW","Marcus Foligno",2900,"Buf@NYI 07:30PM ET",1.500,"Buf"
"C","Rickard Rakell",2900,"Nsh@Anh 08:00PM ET",1.650,"Anh"
"LW","Jiri Sekac",2800,"Nsh@Anh 08:00PM ET",1.600,"Anh"
"C","Mike Santorelli",2700,"Nsh@Anh 08:00PM ET",1.556,"Anh"
"C","Alex Burmistrov",2700,"Wpg@Mon 07:00PM ET",1.545,"Wpg"
"LW","Johan Larsson",2700,"Buf@NYI 07:30PM ET",1.500,"Buf"
"D","Mattias Ekholm",2700,"Nsh@Anh 08:00PM ET",1.750,"Nsh"
"LW","Nicolas Deslauriers",2700,"Buf@NYI 07:30PM ET",1.773,"Buf"
"D","Jake McCabe",2700,"Buf@NYI 07:30PM ET",1.500,"Buf"
"D","Barret Jackman",2600,"Nsh@Anh 08:00PM ET",1.550,"Nsh"
"LW","Eric Nystrom",2600,"Nsh@Anh 08:00PM ET",1.500,"Nsh"
"D","Carlo Colaiacovo",2600,"Buf@NYI 07:30PM ET",1.167,"Buf"
"C","Paul Gaustad",2600,"Nsh@Anh 08:00PM ET",1.200,"Nsh"
"D","Tom Gilbert",2600,"Wpg@Mon 07:00PM ET",1.417,"Mon"
"D","Josh Gorges",2600,"Buf@NYI 07:30PM ET",2.045,"Buf"
"RW","Cal Clutterbuck",2600,"Buf@NYI 07:30PM ET",1.591,"NYI"
"C","Paul Byron",2600,"Wpg@Mon 07:00PM ET",1.300,"Mon"
"RW","Gabriel Bourque",2600,"Nsh@Anh 08:00PM ET",0.950,"Nsh"
"C","Calle Jarnkrok",2600,"Nsh@Anh 08:00PM ET",1.222,"Nsh"
"C","Chris Wagner",2600,"Nsh@Anh 08:00PM ET",1.500,"Anh"
"D","Alexei Emelin",2600,"Wpg@Mon 07:00PM ET",0.958,"Mon"
"D","Nathan Beaulieu",2600,"Wpg@Mon 07:00PM ET",1.667,"Mon"
"C","Sam Reinhart",2600,"Buf@NYI 07:30PM ET",1.545,"Buf"
"C","David Legwand",2500,"Buf@NYI 07:30PM ET",0.800,"Buf"
"RW","Tim Jackman",2500,"Nsh@Anh 08:00PM ET",0.167,"Anh"
"RW","Steve Bernier",2500,"Buf@NYI 07:30PM ET",0.167,"NYI"
"D","Mark Stuart",2500,"Wpg@Mon 07:00PM ET",1.682,"Wpg"
"RW","Chris Thorburn",2500,"Wpg@Mon 07:00PM ET",0.682,"Wpg"
"D","Adam Pardy",2500,"Wpg@Mon 07:00PM ET",0.429,"Wpg"
"D","Joe Piskula",2500,"Nsh@Anh 08:00PM ET",0.000,"Anh"
"D","Mike Weber",2500,"Buf@NYI 07:30PM ET",0.750,"Buf"
"C","Cody Hodgson",2500,"Nsh@Anh 08:00PM ET",0.900,"Nsh"
"RW","Anthony Peluso",2500,"Wpg@Mon 07:00PM ET",0.429,"Wpg"
"D","Paul Postma",2500,"Wpg@Mon 07:00PM ET",0.000,"Wpg"
"D","Victor Bartley",2500,"Nsh@Anh 08:00PM ET",1.250,"Nsh"
