"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Tyler Seguin",8700,"Dal@Car 07:00PM ET",6.346,"Dal"
"G","Henrik Lundqvist",8000,"NYR@Col 09:00PM ET",6.140,"NYR"
"RW","Patrick Kane",8000,"Chi@NJ 07:00PM ET",5.346,"Chi"
"LW","Jamie Benn",8000,"Dal@Car 07:00PM ET",5.423,"Dal"
"G","Corey Crawford",7800,"Chi@NJ 07:00PM ET",5.520,"Chi"
"C","Sidney Crosby",7800,"Pit@Edm 09:00PM ET",2.792,"Pit"
"G","Marc-Andre Fleury",7700,"Pit@Edm 09:00PM ET",6.055,"Pit"
"G","Antti Raanta",7600,"NYR@Col 09:00PM ET",7.900,"NYR"
"C","Nathan MacKinnon",7400,"NYR@Col 09:00PM ET",4.962,"Col"
"RW","Phil Kessel",7300,"Pit@Edm 09:00PM ET",3.292,"Pit"
"C","Evgeni Malkin",7200,"Pit@Edm 09:00PM ET",3.583,"Pit"
"LW","Gabriel Landeskog",7100,"NYR@Col 09:00PM ET",4.077,"Col"
"G","Scott Darling",7100,"Chi@NJ 07:00PM ET",2.533,"Chi"
"G","Jimmy Howard",7000,"Det@Tor 07:00PM ET",4.743,"Det"
"G","Petr Mrazek",7000,"Det@Tor 07:00PM ET",5.400,"Det"
"G","Frederik Andersen",7000,"Cls@Anh 10:00PM ET",4.260,"Anh"
"LW","Rick Nash",6900,"NYR@Col 09:00PM ET",2.458,"NYR"
"C","Henrik Zetterberg",6900,"Det@Tor 07:00PM ET",3.792,"Det"
"RW","Corey Perry",6900,"Cls@Anh 10:00PM ET",2.042,"Anh"
"G","Semyon Varlamov",6900,"NYR@Col 09:00PM ET",2.800,"Col"
"G","Jeff Zatkoff",6900,"Pit@Edm 09:00PM ET",10.000,"Pit"
"G","Cory Schneider",6800,"Chi@NJ 07:00PM ET",4.780,"NJ"
"G","Antti Niemi",6800,"Dal@Car 07:00PM ET",5.244,"Dal"
"G","Sergei Bobrovsky",6800,"Cls@Anh 10:00PM ET",2.683,"Cls"
"G","Kari Lehtonen",6700,"Dal@Car 07:00PM ET",5.160,"Dal"
"G","Curtis McElhinney",6700,"Cls@Anh 10:00PM ET",1.900,"Cls"
"LW","Taylor Hall",6700,"Pit@Edm 09:00PM ET",5.192,"Edm"
"C","Jonathan Toews",6500,"Chi@NJ 07:00PM ET",3.462,"Chi"
"G","Cam Ward",6400,"Dal@Car 07:00PM ET",3.600,"Car"
"G","Anton Khudobin",6400,"Cls@Anh 10:00PM ET",2.200,"Anh"
"G","James Reimer",6400,"Det@Tor 07:00PM ET",3.600,"Tor"
"G","Keith Kinkaid",6400,"Chi@NJ 07:00PM ET",1.400,"NJ"
"G","Reto Berra",6400,"NYR@Col 09:00PM ET",4.850,"Col"
"LW","James van Riemsdyk",6300,"Det@Tor 07:00PM ET",2.958,"Tor"
"G","Cam Talbot",6300,"Pit@Edm 09:00PM ET",2.900,"Edm"
"G","Eddie Lack",6300,"Dal@Car 07:00PM ET",1.467,"Car"
"G","Jonathan Bernier",6200,"Det@Tor 07:00PM ET",1.875,"Tor"
"G","Anders Nilsson",6200,"Pit@Edm 09:00PM ET",4.100,"Edm"
"G","Yann Danis",6000,"Chi@NJ 07:00PM ET",0,"NJ"
"G","Antoine Bibeau",6000,"Det@Tor 07:00PM ET",0,"Tor"
"LW","Patrick Sharp",5900,"Dal@Car 07:00PM ET",3.346,"Dal"
"C","Jason Spezza",5900,"Dal@Car 07:00PM ET",3.846,"Dal"
"RW","Patric Hornqvist",5900,"Pit@Edm 09:00PM ET",2.458,"Pit"
"D","Kris Letang",5700,"Pit@Edm 09:00PM ET",3.167,"Pit"
"C","Connor McDavid",5700,"Pit@Edm 09:00PM ET",3.269,"Edm"
"C","Eric Staal",5600,"Dal@Car 07:00PM ET",2.958,"Car"
"D","Justin Faulk",5600,"Dal@Car 07:00PM ET",3.833,"Car"
"LW","Brandon Saad",5600,"Cls@Anh 10:00PM ET",2.607,"Cls"
"C","Ryan Johansen",5500,"Cls@Anh 10:00PM ET",2.708,"Cls"
"RW","Chris Stewart",5400,"Cls@Anh 10:00PM ET",1.642,"Anh"
"RW","Jarome Iginla",5300,"NYR@Col 09:00PM ET",3.577,"Col"
"LW","Nick Foligno",5300,"Cls@Anh 10:00PM ET",2.500,"Cls"
"C","Derek Stepan",5300,"NYR@Col 09:00PM ET",2.475,"NYR"
"RW","Gustav Nyquist",5300,"Det@Tor 07:00PM ET",3.500,"Det"
"D","Sami Vatanen",5300,"Cls@Anh 10:00PM ET",2.625,"Anh"
"RW","Marian Hossa",5200,"Chi@NJ 07:00PM ET",2.000,"Chi"
"LW","Scott Hartnell",5200,"Cls@Anh 10:00PM ET",2.964,"Cls"
"D","Brent Seabrook",5200,"Chi@NJ 07:00PM ET",4.115,"Chi"
"C","Matt Duchene",5200,"NYR@Col 09:00PM ET",2.731,"Col"
"LW","Tomas Tatar",5200,"Det@Tor 07:00PM ET",2.708,"Det"
"RW","Mats Zuccarello",5200,"NYR@Col 09:00PM ET",3.792,"NYR"
"D","John Klingberg",5200,"Dal@Car 07:00PM ET",3.577,"Dal"
"C","Derick Brassard",5100,"NYR@Col 09:00PM ET",2.833,"NYR"
"LW","Mike Cammalleri",5000,"Chi@NJ 07:00PM ET",3.642,"NJ"
"D","Keith Yandle",5000,"NYR@Col 09:00PM ET",2.458,"NYR"
"C","Nazem Kadri",5000,"Det@Tor 07:00PM ET",3.333,"Tor"
"LW","Artemi Panarin",5000,"Chi@NJ 07:00PM ET",3.154,"Chi"
"D","Francois Beauchemin",4900,"NYR@Col 09:00PM ET",3.923,"Col"
"C","Ryan Kesler",4900,"Cls@Anh 10:00PM ET",1.875,"Anh"
"LW","Chris Kreider",4900,"NYR@Col 09:00PM ET",2.292,"NYR"
"D","Tyson Barrie",4800,"NYR@Col 09:00PM ET",2.600,"Col"
"C","Ryan Nugent-Hopkins",4800,"Pit@Edm 09:00PM ET",3.538,"Edm"
"LW","Pascal Dupuis",4700,"Pit@Edm 09:00PM ET",1.750,"Pit"
"LW","Chris Kunitz",4700,"Pit@Edm 09:00PM ET",1.708,"Pit"
"LW","Justin Abdelkader",4700,"Det@Tor 07:00PM ET",2.417,"Det"
"D","Erik Johnson",4600,"NYR@Col 09:00PM ET",3.462,"Col"
"LW","Adam Henrique",4600,"Chi@NJ 07:00PM ET",3.350,"NJ"
"D","Mike Green",4500,"Det@Tor 07:00PM ET",1.786,"Det"
"RW","Cam Atkinson",4500,"Cls@Anh 10:00PM ET",2.654,"Cls"
"D","Hampus Lindholm",4500,"Cls@Anh 10:00PM ET",3.000,"Anh"
"D","Dion Phaneuf",4400,"Det@Tor 07:00PM ET",2.958,"Tor"
"C","Brandon Dubinsky",4400,"Cls@Anh 10:00PM ET",2.679,"Cls"
"D","Ryan McDonagh",4400,"NYR@Col 09:00PM ET",1.708,"NYR"
"LW","Jeff Skinner",4400,"Dal@Car 07:00PM ET",1.958,"Car"
"RW","Jakob Silfverberg",4400,"Cls@Anh 10:00PM ET",1.908,"Anh"
"C","Victor Rask",4400,"Dal@Car 07:00PM ET",3.042,"Car"
"RW","Kris Versteeg",4300,"Dal@Car 07:00PM ET",2.958,"Car"
"LW","David Perron",4300,"Pit@Edm 09:00PM ET",1.958,"Pit"
"RW","Nail Yakupov",4300,"Pit@Edm 09:00PM ET",3.154,"Edm"
"D","Morgan Rielly",4300,"Det@Tor 07:00PM ET",3.417,"Tor"
"C","Dylan Larkin",4300,"Det@Tor 07:00PM ET",3.292,"Det"
"C","Carl Soderberg",4200,"NYR@Col 09:00PM ET",2.423,"Col"
"D","Alex Goligoski",4200,"Dal@Car 07:00PM ET",2.769,"Dal"
"C","Artem Anisimov",4200,"Chi@NJ 07:00PM ET",2.615,"Chi"
"C","Cody Eakin",4200,"Dal@Car 07:00PM ET",2.308,"Dal"
"C","Tyler Bozak",4100,"Det@Tor 07:00PM ET",2.063,"Tor"
"RW","Kevin Hayes",4100,"NYR@Col 09:00PM ET",2.833,"NYR"
"D","Niklas Kronwall",4000,"Det@Tor 07:00PM ET",1.625,"Det"
"LW","Teuvo Teravainen",4000,"Chi@NJ 07:00PM ET",2.346,"Chi"
"LW","Alex Tanguay",3900,"NYR@Col 09:00PM ET",1.769,"Col"
"LW","Joffrey Lupul",3900,"Det@Tor 07:00PM ET",2.917,"Tor"
"RW","Eric Fehr",3900,"Pit@Edm 09:00PM ET",5.750,"Pit"
"LW","Benoit Pouliot",3900,"Pit@Edm 09:00PM ET",2.308,"Edm"
"C","Andrew Cogliano",3900,"Cls@Anh 10:00PM ET",1.375,"Anh"
"C","Jordan Staal",3900,"Dal@Car 07:00PM ET",1.625,"Car"
"RW","Kyle Palmieri",3900,"Chi@NJ 07:00PM ET",3.125,"NJ"
"D","Cam Fowler",3900,"Cls@Anh 10:00PM ET",2.167,"Anh"
"C","Boone Jenner",3900,"Cls@Anh 10:00PM ET",3.393,"Cls"
"RW","Ales Hemsky",3800,"Dal@Car 07:00PM ET",2.375,"Dal"
"D","Jack Johnson",3800,"Cls@Anh 10:00PM ET",1.857,"Cls"
"D","Kevin Bieksa",3800,"Cls@Anh 10:00PM ET",2.000,"Anh"
"LW","Carl Hagelin",3800,"Cls@Anh 10:00PM ET",1.417,"Anh"
"LW","Patrick Maroon",3700,"Cls@Anh 10:00PM ET",0.708,"Anh"
"RW","Marko Dano",3700,"Chi@NJ 07:00PM ET",3.250,"Chi"
"C","Nick Bonino",3600,"Pit@Edm 09:00PM ET",1.875,"Pit"
"D","Oscar Klefbom",3600,"Pit@Edm 09:00PM ET",2.308,"Edm"
"C","Elias Lindholm",3600,"Dal@Car 07:00PM ET",1.333,"Car"
"C","Travis Zajac",3500,"Chi@NJ 07:00PM ET",3.045,"NJ"
"RW","Lee Stempniak",3500,"Chi@NJ 07:00PM ET",2.850,"NJ"
"C","Riley Sheahan",3500,"Det@Tor 07:00PM ET",1.917,"Det"
"D","Olli Maatta",3500,"Pit@Edm 09:00PM ET",1.750,"Pit"
"C","Shawn Horcoff",3400,"Cls@Anh 10:00PM ET",1.409,"Anh"
"D","Trevor Daley",3400,"Chi@NJ 07:00PM ET",1.692,"Chi"
"RW","Brad Boyes",3400,"Det@Tor 07:00PM ET",1.708,"Tor"
"RW","Michael Grabner",3400,"Det@Tor 07:00PM ET",1.182,"Tor"
"RW","Teddy Purcell",3400,"Pit@Edm 09:00PM ET",2.000,"Edm"
"LW","Nathan Gerbe",3400,"Dal@Car 07:00PM ET",1.542,"Car"
"C","Leo Komarov",3400,"Det@Tor 07:00PM ET",2.458,"Tor"
"RW","Pierre-Alexandre Parenteau",3300,"Det@Tor 07:00PM ET",1.367,"Tor"
"C","John Mitchell",3300,"NYR@Col 09:00PM ET",2.273,"Col"
"D","Clayton Stoner",3300,"Cls@Anh 10:00PM ET",0.944,"Anh"
"C","Darren Helm",3300,"Det@Tor 07:00PM ET",1.063,"Det"
"D","Jason Demers",3300,"Dal@Car 07:00PM ET",2.955,"Dal"
"D","David Savard",3300,"Cls@Anh 10:00PM ET",2.679,"Cls"
"C","Oscar Lindberg",3300,"NYR@Col 09:00PM ET",3.208,"NYR"
"C","J.T. Miller",3300,"NYR@Col 09:00PM ET",2.125,"NYR"
"RW","Valeri Nichushkin",3300,"Dal@Car 07:00PM ET",1.455,"Dal"
