"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"LW","Alex Ovechkin",9600,"Was@Det 07:30PM ET",5.767,"Was"
"C","Tyler Seguin",8800,"Tor@Dal 08:30PM ET",6.133,"Dal"
"C","John Tavares",8200,"NYI@SJ 10:30PM ET",4.083,"NYI"
"LW","Jamie Benn",8100,"Tor@Dal 08:30PM ET",5.100,"Dal"
"G","Pekka Rinne",8000,"Ott@Nsh 08:00PM ET",5.145,"Nsh"
"G","Braden Holtby",8000,"Was@Det 07:30PM ET",4.655,"Was"
"G","Henrik Lundqvist",7900,"Car@NYR 07:00PM ET",6.291,"NYR"
"LW","Zach Parise",7800,"Wpg@Min 08:00PM ET",3.731,"Min"
"G","Andrei Vasilevskiy",7800,"Buf@TB 07:30PM ET",7.200,"TB"
"RW","Vladimir Tarasenko",7600,"StL@NJ 07:00PM ET",4.846,"StL"
"G","Antti Raanta",7600,"Car@NYR 07:00PM ET",8.533,"NYR"
"G","Roberto Luongo",7500,"Cgy@Fla 07:30PM ET",4.980,"Fla"
"C","Joe Pavelski",7500,"NYI@SJ 10:30PM ET",4.907,"SJ"
"G","Jonathan Quick",7500,"Ari@LA 10:30PM ET",4.633,"LA"
"C","Nathan MacKinnon",7500,"Col@Phi 07:00PM ET",5.036,"Col"
"G","Ryan Miller",7400,"Van@Cls 07:00PM ET",4.057,"Van"
"G","Ben Bishop",7400,"Buf@TB 07:30PM ET",4.046,"TB"
"C","Steven Stamkos",7400,"Buf@TB 07:30PM ET",3.000,"TB"
"G","Jake Allen",7400,"StL@NJ 07:00PM ET",6.556,"StL"
"G","Martin Jones",7300,"NYI@SJ 10:30PM ET",4.855,"SJ"
"RW","Blake Wheeler",7200,"Wpg@Min 08:00PM ET",4.547,"Wpg"
"G","Devan Dubnyk",7200,"Wpg@Min 08:00PM ET",4.533,"Min"
"G","Jaroslav Halak",7200,"NYI@SJ 10:30PM ET",5.175,"NYI"
"G","Craig Anderson",7100,"Ott@Nsh 08:00PM ET",5.200,"Ott"
"G","Brian Elliott",7100,"StL@NJ 07:00PM ET",3.467,"StL"
"G","Petr Mrazek",7100,"Was@Det 07:30PM ET",5.150,"Det"
"G","Jimmy Howard",7000,"Was@Det 07:30PM ET",4.400,"Det"
"G","Jhonas Enroth",7000,"Ari@LA 10:30PM ET",9.800,"LA"
"LW","Gabriel Landeskog",7000,"Col@Phi 07:00PM ET",3.857,"Col"
"G","Andrew Hammond",7000,"Ott@Nsh 08:00PM ET",5.000,"Ott"
"LW","Rick Nash",6900,"Car@NYR 07:00PM ET",2.458,"NYR"
"C","Henrik Zetterberg",6900,"Was@Det 07:30PM ET",3.571,"Det"
"G","Cory Schneider",6900,"StL@NJ 07:00PM ET",4.927,"NJ"
"G","Thomas Greiss",6900,"NYI@SJ 10:30PM ET",5.400,"NYI"
"G","Semyon Varlamov",6900,"Col@Phi 07:00PM ET",2.800,"Col"
"D","Erik Karlsson",6900,"Ott@Nsh 08:00PM ET",3.893,"Ott"
"G","Carter Hutton",6900,"Ott@Nsh 08:00PM ET",4.200,"Nsh"
"G","Philipp Grubauer",6900,"Was@Det 07:30PM ET",5.000,"Was"
"G","Kari Lehtonen",6800,"Tor@Dal 08:30PM ET",5.714,"Dal"
"D","Brent Burns",6800,"NYI@SJ 10:30PM ET",4.836,"SJ"
"G","Steve Mason",6800,"Col@Phi 07:00PM ET",3.150,"Phi"
"G","Antti Niemi",6800,"Tor@Dal 08:30PM ET",5.244,"Dal"
"G","Sergei Bobrovsky",6800,"Van@Cls 07:00PM ET",2.683,"Cls"
"G","Al Montoya",6700,"Cgy@Fla 07:30PM ET",4.600,"Fla"
"G","Curtis McElhinney",6700,"Van@Cls 07:00PM ET",2.120,"Cls"
"G","Karri Ramo",6700,"Cgy@Fla 07:30PM ET",3.543,"Cgy"
"C","Nicklas Backstrom",6700,"Was@Det 07:30PM ET",4.250,"Was"
"C","Claude Giroux",6700,"Col@Phi 07:00PM ET",3.086,"Phi"
"G","Darcy Kuemper",6700,"Wpg@Min 08:00PM ET",1.267,"Min"
"LW","Alexander Steen",6600,"StL@NJ 07:00PM ET",4.464,"StL"
"G","Michal Neuvirth",6600,"Col@Phi 07:00PM ET",6.100,"Phi"
"G","Richard Bachman",6600,"Van@Cls 07:00PM ET",5.600,"Van"
"G","Michael Hutchinson",6600,"Wpg@Min 08:00PM ET",5.333,"Wpg"
"G","Ondrej Pavelec",6500,"Wpg@Min 08:00PM ET",3.709,"Wpg"
"G","Alex Stalock",6500,"NYI@SJ 10:30PM ET",2.550,"SJ"
"G","Keith Kinkaid",6500,"StL@NJ 07:00PM ET",2.800,"NJ"
"LW","Daniel Sedin",6400,"Van@Cls 07:00PM ET",3.700,"Van"
"G","Cam Ward",6400,"Car@NYR 07:00PM ET",3.709,"Car"
"C","Kyle Turris",6400,"Ott@Nsh 08:00PM ET",4.207,"Ott"
"G","James Reimer",6400,"Tor@Dal 08:30PM ET",3.475,"Tor"
"D","John Carlson",6400,"Was@Det 07:30PM ET",3.885,"Was"
"G","Reto Berra",6400,"Col@Phi 07:00PM ET",4.720,"Col"
"RW","James Neal",6300,"Ott@Nsh 08:00PM ET",4.438,"Nsh"
"LW","James van Riemsdyk",6300,"Tor@Dal 08:30PM ET",2.964,"Tor"
"RW","Jakub Voracek",6300,"Col@Phi 07:00PM ET",2.929,"Phi"
"G","Eddie Lack",6300,"Car@NYR 07:00PM ET",1.600,"Car"
"G","Chad Johnson",6200,"Buf@TB 07:30PM ET",2.400,"Buf"
"D","Roman Josi",6200,"Ott@Nsh 08:00PM ET",4.615,"Nsh"
"G","Joni Ortio",6200,"Cgy@Fla 07:30PM ET",0.800,"Cgy"
"LW","Johnny Gaudreau",6200,"Cgy@Fla 07:30PM ET",3.700,"Cgy"
"G","Linus Ullmark",6200,"Buf@TB 07:30PM ET",4.520,"Buf"
"G","Mike Smith",6100,"Ari@LA 10:30PM ET",3.550,"Ari"
"G","Niklas Backstrom",6100,"Wpg@Min 08:00PM ET",0.000,"Min"
"RW","Kyle Okposo",6100,"NYI@SJ 10:30PM ET",3.000,"NYI"
"G","Antoine Bibeau",6100,"Tor@Dal 08:30PM ET",0,"Tor"
"G","Jason LaBarbera",6000,"Col@Phi 07:00PM ET",0,"Phi"
"LW","Patrick Sharp",6000,"Tor@Dal 08:30PM ET",3.600,"Dal"
"C","Jeff Carter",6000,"Ari@LA 10:30PM ET",4.214,"LA"
"G","Yann Danis",6000,"StL@NJ 07:00PM ET",0,"NJ"
"D","Mark Giordano",6000,"Cgy@Fla 07:30PM ET",3.500,"Cgy"
"D","Dustin Byfuglien",6000,"Wpg@Min 08:00PM ET",3.567,"Wpg"
"RW","T.J. Oshie",6000,"Was@Det 07:30PM ET",3.654,"Was"
"G","Anders Lindback",6000,"Ari@LA 10:30PM ET",3.000,"Ari"
"G","Jean-Francois Berube",6000,"NYI@SJ 10:30PM ET",2.000,"NYI"
"G","Jacob Markstrom",6000,"Van@Cls 07:00PM ET",0,"Van"
"LW","Patrick Marleau",5900,"NYI@SJ 10:30PM ET",3.321,"SJ"
"C","Jason Spezza",5900,"Tor@Dal 08:30PM ET",3.600,"Dal"
"RW","Tyler Toffoli",5900,"Ari@LA 10:30PM ET",3.786,"LA"
