"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"LW","Alex Ovechkin",9300,"Was@NYR 07:00PM ET",5.500,"Was"
"C","Tyler Seguin",8500,"Dal@Bos 07:00PM ET",5.708,"Dal"
"G","Carey Price",8200,"Ott@Mon 07:30PM ET",6.667,"Mon"
"C","John Tavares",8200,"NJ@NYI 07:00PM ET",4.400,"NYI"
"G","Henrik Lundqvist",8000,"Was@NYR 07:00PM ET",6.000,"NYR"
"LW","Jamie Benn",8000,"Dal@Bos 07:00PM ET",5.542,"Dal"
"G","Braden Holtby",8000,"Was@NYR 07:00PM ET",4.950,"Was"
"G","Andrei Vasilevskiy",7900,"TB@Det 07:30PM ET",6.400,"TB"
"LW","Max Pacioretty",7700,"Ott@Mon 07:30PM ET",4.269,"Mon"
"G","Antti Raanta",7600,"Was@NYR 07:00PM ET",7.900,"NYR"
"G","Jonathan Quick",7500,"LA@StL 08:30PM ET",4.860,"LA"
"C","Steven Stamkos",7500,"TB@Det 07:30PM ET",3.038,"TB"
"RW","Vladimir Tarasenko",7500,"LA@StL 08:30PM ET",5.150,"StL"
"G","Tuukka Rask",7400,"Dal@Bos 07:00PM ET",3.543,"Bos"
"G","Ben Bishop",7400,"TB@Det 07:30PM ET",4.127,"TB"
"G","Jake Allen",7400,"LA@StL 08:30PM ET",5.567,"StL"
"G","Martin Jones",7300,"Cls@SJ 10:30PM ET",5.756,"SJ"
"G","Mike Condon",7300,"Ott@Mon 07:30PM ET",6.600,"Mon"
"C","Nathan MacKinnon",7300,"Cgy@Col 09:00PM ET",4.500,"Col"
"C","Joe Pavelski",7200,"Cls@SJ 10:30PM ET",4.655,"SJ"
"G","Jaroslav Halak",7100,"NJ@NYI 07:00PM ET",5.760,"NYI"
"G","Brian Elliott",7100,"LA@StL 08:30PM ET",4.520,"StL"
"LW","Rick Nash",7000,"Was@NYR 07:00PM ET",2.682,"NYR"
"C","Henrik Zetterberg",7000,"TB@Det 07:30PM ET",4.000,"Det"
"G","Craig Anderson",7000,"Ott@Mon 07:30PM ET",4.275,"Ott"
"G","Semyon Varlamov",7000,"Cgy@Col 09:00PM ET",2.725,"Col"
"G","Petr Mrazek",7000,"TB@Det 07:30PM ET",5.400,"Det"
"LW","Gabriel Landeskog",7000,"Cgy@Col 09:00PM ET",4.000,"Col"
"G","Andrew Hammond",7000,"Ott@Mon 07:30PM ET",4.700,"Ott"
"G","Jimmy Howard",6900,"TB@Det 07:30PM ET",4.233,"Det"
"G","Steve Mason",6900,"Phi@Edm 09:00PM ET",3.150,"Phi"
"G","Jhonas Enroth",6900,"LA@StL 08:30PM ET",9.800,"LA"
"G","Philipp Grubauer",6900,"Was@NYR 07:00PM ET",5.000,"Was"
"G","Cory Schneider",6800,"NJ@NYI 07:00PM ET",4.822,"NJ"
"G","Thomas Greiss",6800,"NJ@NYI 07:00PM ET",5.400,"NYI"
"C","Claude Giroux",6800,"Phi@Edm 09:00PM ET",3.064,"Phi"
"D","Erik Karlsson",6800,"Ott@Mon 07:30PM ET",4.000,"Ott"
"G","Kari Lehtonen",6700,"Dal@Bos 07:00PM ET",4.650,"Dal"
"C","Nicklas Backstrom",6700,"Was@NYR 07:00PM ET",4.643,"Was"
"G","Antti Niemi",6700,"Dal@Bos 07:00PM ET",5.244,"Dal"
"G","Sergei Bobrovsky",6700,"Cls@SJ 10:30PM ET",1.580,"Cls"
"G","Curtis McElhinney",6600,"Cls@SJ 10:30PM ET",1.900,"Cls"
"G","Dustin Tokarski",6600,"Ott@Mon 07:30PM ET",0,"Mon"
"LW","Alexander Steen",6500,"LA@StL 08:30PM ET",4.091,"StL"
"G","Karri Ramo",6500,"Cgy@Col 09:00PM ET",1.950,"Cgy"
"G","Jonas Hiller",6500,"Cgy@Col 09:00PM ET",1.657,"Cgy"
"RW","Jakub Voracek",6500,"Phi@Edm 09:00PM ET",3.227,"Phi"
"G","Alex Stalock",6500,"Cls@SJ 10:30PM ET",1.300,"SJ"
"G","Jonas Gustavsson",6500,"Dal@Bos 07:00PM ET",5.267,"Bos"
"LW","Taylor Hall",6500,"Phi@Edm 09:00PM ET",4.833,"Edm"
"D","Brent Burns",6400,"Cls@SJ 10:30PM ET",4.927,"SJ"
"G","Michal Neuvirth",6400,"Phi@Edm 09:00PM ET",5.320,"Phi"
"D","John Carlson",6400,"Was@NYR 07:00PM ET",4.100,"Was"
"G","Keith Kinkaid",6400,"NJ@NYI 07:00PM ET",1.400,"NJ"
"G","Reto Berra",6400,"Cgy@Col 09:00PM ET",4.850,"Col"
"C","Kyle Turris",6300,"Ott@Mon 07:30PM ET",4.473,"Ott"
"G","Cam Talbot",6300,"Phi@Edm 09:00PM ET",2.900,"Edm"
"G","Joni Ortio",6200,"Cgy@Col 09:00PM ET",0.800,"Cgy"
"G","Anders Nilsson",6200,"Phi@Edm 09:00PM ET",3.800,"Edm"
"RW","Kyle Okposo",6100,"NJ@NYI 07:00PM ET",3.000,"NYI"
"LW","Patrick Marleau",6000,"Cls@SJ 10:30PM ET",3.364,"SJ"
"G","Jason LaBarbera",6000,"Phi@Edm 09:00PM ET",0,"Phi"
"LW","Patrick Sharp",6000,"Dal@Bos 07:00PM ET",3.625,"Dal"
"C","Tomas Plekanec",6000,"Ott@Mon 07:30PM ET",3.500,"Mon"
"G","Yann Danis",6000,"NJ@NYI 07:00PM ET",0,"NJ"
"D","Mark Giordano",6000,"Cgy@Col 09:00PM ET",3.542,"Cgy"
"RW","T.J. Oshie",6000,"Was@NYR 07:00PM ET",4.100,"Was"
"D","P.K. Subban",6000,"Ott@Mon 07:30PM ET",3.346,"Mon"
"G","Jean-Francois Berube",6000,"NJ@NYI 07:00PM ET",2.000,"NYI"
"LW","Johnny Gaudreau",6000,"Cgy@Col 09:00PM ET",3.167,"Cgy"
"C","Jason Spezza",5900,"Dal@Bos 07:00PM ET",3.833,"Dal"
"C","Patrice Bergeron",5900,"Dal@Bos 07:00PM ET",3.950,"Bos"
"RW","Mark Stone",5800,"Ott@Mon 07:30PM ET",3.727,"Ott"
"C","Jeff Carter",5700,"LA@StL 08:30PM ET",3.591,"LA"
"C","David Krejci",5700,"Dal@Bos 07:00PM ET",5.600,"Bos"
"C","Connor McDavid",5700,"Phi@Edm 09:00PM ET",3.458,"Edm"
"C","Evgeny Kuznetsov",5600,"Was@NYR 07:00PM ET",4.450,"Was"
"RW","Tyler Toffoli",5600,"LA@StL 08:30PM ET",4.045,"LA"
"C","Tyler Johnson",5600,"TB@Det 07:30PM ET",2.385,"TB"
"D","Drew Doughty",5500,"LA@StL 08:30PM ET",3.182,"LA"
"RW","Brendan Gallagher",5500,"Ott@Mon 07:30PM ET",3.654,"Mon"
"LW","Brandon Saad",5500,"Cls@SJ 10:30PM ET",2.333,"Cls"
"D","Torey Krug",5500,"Dal@Bos 07:00PM ET",3.550,"Bos"
"C","Sean Monahan",5500,"Cgy@Col 09:00PM ET",2.333,"Cgy"
"C","Anze Kopitar",5400,"LA@StL 08:30PM ET",2.318,"LA"
"RW","Ryan Callahan",5400,"TB@Det 07:30PM ET",2.385,"TB"
"LW","Nick Foligno",5400,"Cls@SJ 10:30PM ET",2.458,"Cls"
"C","Ryan Johansen",5400,"Cls@SJ 10:30PM ET",2.750,"Cls"
"C","Derek Stepan",5400,"Was@NYR 07:00PM ET",2.700,"NYR"
"RW","Nikita Kucherov",5400,"TB@Det 07:30PM ET",2.462,"TB"
"D","Johnny Boychuk",5300,"NJ@NYI 07:00PM ET",3.583,"NYI"
"RW","Wayne Simmonds",5300,"Phi@Edm 09:00PM ET",2.000,"Phi"
"RW","Gustav Nyquist",5300,"TB@Det 07:30PM ET",3.591,"Det"
"RW","Bobby Ryan",5200,"Ott@Mon 07:30PM ET",3.600,"Ott"
"LW","Tomas Tatar",5200,"TB@Det 07:30PM ET",2.591,"Det"
"RW","Mats Zuccarello",5200,"Was@NYR 07:00PM ET",3.909,"NYR"
"RW","Jarome Iginla",5100,"Cgy@Col 09:00PM ET",3.182,"Col"
"LW","Scott Hartnell",5100,"Cls@SJ 10:30PM ET",2.667,"Cls"
"LW","Mike Cammalleri",5100,"NJ@NYI 07:00PM ET",3.927,"NJ"
"D","Keith Yandle",5100,"Was@NYR 07:00PM ET",2.455,"NYR"
"D","Victor Hedman",5100,"TB@Det 07:30PM ET",3.000,"TB"
"D","John Klingberg",5100,"Dal@Bos 07:00PM ET",3.500,"Dal"
"C","Joe Thornton",5000,"Cls@SJ 10:30PM ET",2.591,"SJ"
"RW","Marian Gaborik",5000,"LA@StL 08:30PM ET",1.727,"LA"
"RW","Jiri Hudler",5000,"Cgy@Col 09:00PM ET",3.125,"Cgy"
"C","Derick Brassard",5000,"Was@NYR 07:00PM ET",2.591,"NYR"
"C","Matt Duchene",5000,"Cgy@Col 09:00PM ET",1.955,"Col"
"LW","Chris Kreider",5000,"Was@NYR 07:00PM ET",2.455,"NYR"
"D","Zdeno Chara",4900,"Dal@Bos 07:00PM ET",4.000,"Bos"
"D","Andrei Markov",4900,"Ott@Mon 07:30PM ET",3.462,"Mon"
"RW","Loui Eriksson",4900,"Dal@Bos 07:00PM ET",3.300,"Bos"
"C","Frans Nielsen",4900,"NJ@NYI 07:00PM ET",4.058,"NYI"
"LW","Brad Marchand",4900,"Dal@Bos 07:00PM ET",4.444,"Bos"
"D","Alex Pietrangelo",4900,"LA@StL 08:30PM ET",2.500,"StL"
"C","Anders Lee",4900,"NJ@NYI 07:00PM ET",2.792,"NYI"
"D","Francois Beauchemin",4800,"Cgy@Col 09:00PM ET",4.000,"Col"
"C","David Backes",4800,"LA@StL 08:30PM ET",2.182,"StL"
"D","Kevin Shattenkirk",4800,"LA@StL 08:30PM ET",2.125,"StL"
"LW","Mike Hoffman",4800,"Ott@Mon 07:30PM ET",4.671,"Ott"
"D","Brooks Orpik",4700,"Was@NYR 07:00PM ET",2.000,"Was"
"D","Dennis Wideman",4700,"Cgy@Col 09:00PM ET",2.250,"Cgy"
"D","Mark Streit",4700,"Phi@Edm 09:00PM ET",3.545,"Phi"
"RW","Michael Frolik",4700,"Cgy@Col 09:00PM ET",3.625,"Cgy"
"LW","Justin Abdelkader",4700,"TB@Det 07:30PM ET",2.409,"Det"
"LW","Adam Henrique",4700,"NJ@NYI 07:00PM ET",3.564,"NJ"
"D","Tyson Barrie",4700,"Cgy@Col 09:00PM ET",2.375,"Col"
"RW","Cam Atkinson",4700,"Cls@SJ 10:30PM ET",2.682,"Cls"
"C","Ryan Nugent-Hopkins",4700,"Phi@Edm 09:00PM ET",3.167,"Edm"
"D","Mike Green",4600,"TB@Det 07:30PM ET",1.786,"Det"
"LW","Milan Lucic",4600,"LA@StL 08:30PM ET",2.091,"LA"
"LW","Ondrej Palat",4600,"TB@Det 07:30PM ET",2.385,"TB"
"C","Alex Galchenyuk",4600,"Ott@Mon 07:30PM ET",2.462,"Mon"
"LW","Tomas Hertl",4600,"Cls@SJ 10:30PM ET",2.864,"SJ"
"D","Kris Russell",4500,"Cgy@Col 09:00PM ET",2.750,"Cgy"
"D","Erik Johnson",4500,"Cgy@Col 09:00PM ET",2.864,"Col"
"D","Anton Stralman",4500,"TB@Det 07:30PM ET",2.115,"TB"
"D","Ryan McDonagh",4500,"Was@NYR 07:00PM ET",1.773,"NYR"
"C","Marcus Johansson",4500,"Was@NYR 07:00PM ET",2.500,"Was"
"C","Mika Zibanejad",4500,"Ott@Mon 07:30PM ET",3.109,"Ott"
"D","Dougie Hamilton",4500,"Cgy@Col 09:00PM ET",2.208,"Cgy"
"RW","Justin Williams",4400,"Was@NYR 07:00PM ET",3.250,"Was"
"C","Brandon Dubinsky",4400,"Cls@SJ 10:30PM ET",2.375,"Cls"
"D","Jason Garrison",4400,"TB@Det 07:30PM ET",2.500,"TB"
"D","Jake Muzzin",4400,"LA@StL 08:30PM ET",3.318,"LA"
"RW","Jimmy Hayes",4400,"Dal@Bos 07:00PM ET",3.450,"Bos"
"C","Ryan Strome",4400,"NJ@NYI 07:00PM ET",2.200,"NYI"
"RW","David Pastrnak",4400,"Dal@Bos 07:00PM ET",2.450,"Bos"
"D","Matt Niskanen",4300,"Was@NYR 07:00PM ET",2.550,"Was"
"RW","Troy Brouwer",4300,"LA@StL 08:30PM ET",2.864,"StL"
"RW","Joel Ward",4300,"Cls@SJ 10:30PM ET",3.909,"SJ"
"C","Brayden Schenn",4300,"Phi@Edm 09:00PM ET",2.750,"Phi"
"C","Cody Eakin",4300,"Dal@Bos 07:00PM ET",2.417,"Dal"
"RW","Nail Yakupov",4300,"Phi@Edm 09:00PM ET",3.250,"Edm"
"LW","Jonathan Drouin",4300,"TB@Det 07:30PM ET",1.500,"TB"
"C","Carl Soderberg",4200,"Cgy@Col 09:00PM ET",2.409,"Col"
"D","T.J. Brodie",4200,"Cgy@Col 09:00PM ET",3.167,"Cgy"
