"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Tyler Seguin",8800,"Dal@Det 03:00PM ET",6.107,"Dal"
"C","John Tavares",8200,"Bos@NYI 05:00PM ET",4.227,"NYI"
"RW","Patrick Kane",8100,"Edm@Chi 08:00PM ET",5.357,"Chi"
"LW","Jamie Benn",8100,"Dal@Det 03:00PM ET",5.250,"Dal"
"G","Corey Crawford",7800,"Edm@Chi 08:00PM ET",4.927,"Chi"
"G","Ryan Miller",7400,"Van@NJ 05:00PM ET",4.308,"Van"
"G","Tuukka Rask",7300,"Bos@NYI 05:00PM ET",2.778,"Bos"
"G","Jaroslav Halak",7200,"Bos@NYI 05:00PM ET",5.486,"NYI"
"G","Petr Mrazek",7100,"Dal@Det 03:00PM ET",5.829,"Det"
"G","Scott Darling",7100,"Edm@Chi 08:00PM ET",2.250,"Chi"
"G","Jimmy Howard",7000,"Dal@Det 03:00PM ET",4.743,"Det"
"C","Henrik Zetterberg",6900,"Dal@Det 03:00PM ET",3.808,"Det"
"G","Cory Schneider",6900,"Van@NJ 05:00PM ET",4.927,"NJ"
"G","Kari Lehtonen",6800,"Dal@Det 03:00PM ET",5.633,"Dal"
"G","Thomas Greiss",6800,"Bos@NYI 05:00PM ET",5.400,"NYI"
"G","Antti Niemi",6700,"Dal@Det 03:00PM ET",5.244,"Dal"
"LW","Taylor Hall",6700,"Edm@Chi 08:00PM ET",5.036,"Edm"
"G","Jonas Gustavsson",6600,"Bos@NYI 05:00PM ET",4.650,"Bos"
"C","Jonathan Toews",6500,"Edm@Chi 08:00PM ET",3.214,"Chi"
"G","Richard Bachman",6500,"Van@NJ 05:00PM ET",5.600,"Van"
"LW","Daniel Sedin",6400,"Van@NJ 05:00PM ET",3.857,"Van"
"G","Keith Kinkaid",6400,"Van@NJ 05:00PM ET",1.400,"NJ"
"G","Cam Talbot",6300,"Edm@Chi 08:00PM ET",2.900,"Edm"
"G","Anders Nilsson",6300,"Edm@Chi 08:00PM ET",4.120,"Edm"
"RW","Kyle Okposo",6100,"Bos@NYI 05:00PM ET",3.036,"NYI"
"LW","Patrick Sharp",6000,"Dal@Det 03:00PM ET",3.429,"Dal"
"C","Patrice Bergeron",6000,"Bos@NYI 05:00PM ET",3.885,"Bos"
"G","Yann Danis",6000,"Van@NJ 05:00PM ET",0,"NJ"
"G","Jean-Francois Berube",6000,"Bos@NYI 05:00PM ET",2.000,"NYI"
"G","Jacob Markstrom",6000,"Van@NJ 05:00PM ET",0,"Van"
"C","Jason Spezza",5900,"Dal@Det 03:00PM ET",3.679,"Dal"
"RW","Radim Vrbata",5800,"Van@NJ 05:00PM ET",3.121,"Van"
"C","David Krejci",5800,"Bos@NYI 05:00PM ET",4.731,"Bos"
"RW","Jordan Eberle",5600,"Edm@Chi 08:00PM ET",1.000,"Edm"
"D","Torey Krug",5600,"Bos@NYI 05:00PM ET",3.538,"Bos"
"D","Johnny Boychuk",5300,"Bos@NYI 05:00PM ET",3.393,"NYI"
"D","Brent Seabrook",5300,"Edm@Chi 08:00PM ET",3.964,"Chi"
"RW","Gustav Nyquist",5300,"Dal@Det 03:00PM ET",3.346,"Det"
"RW","Marian Hossa",5200,"Edm@Chi 08:00PM ET",2.000,"Chi"
"LW","Tomas Tatar",5200,"Dal@Det 03:00PM ET",2.731,"Det"
"D","John Klingberg",5200,"Dal@Det 03:00PM ET",3.429,"Dal"
"LW","Mike Cammalleri",5100,"Van@NJ 05:00PM ET",3.708,"NJ"
"LW","Artemi Panarin",5100,"Edm@Chi 08:00PM ET",3.179,"Chi"
"RW","Loui Eriksson",5000,"Bos@NYI 05:00PM ET",3.462,"Bos"
"LW","Brad Marchand",5000,"Bos@NYI 05:00PM ET",3.667,"Bos"
"C","Frans Nielsen",4900,"Bos@NYI 05:00PM ET",3.729,"NYI"
"D","Zdeno Chara",4800,"Bos@NYI 05:00PM ET",3.227,"Bos"
"C","Ryan Nugent-Hopkins",4800,"Edm@Chi 08:00PM ET",3.357,"Edm"
"C","Anders Lee",4800,"Bos@NYI 05:00PM ET",2.786,"NYI"
"D","Alexander Edler",4700,"Van@NJ 05:00PM ET",2.923,"Van"
"LW","Justin Abdelkader",4700,"Dal@Det 03:00PM ET",2.462,"Det"
"C","Henrik Sedin",4600,"Van@NJ 05:00PM ET",2.214,"Van"
"RW","Jimmy Hayes",4600,"Bos@NYI 05:00PM ET",3.308,"Bos"
"LW","Adam Henrique",4600,"Van@NJ 05:00PM ET",3.285,"NJ"
"D","Mike Green",4400,"Dal@Det 03:00PM ET",1.786,"Det"
"C","Brandon Sutter",4400,"Van@NJ 05:00PM ET",2.750,"Van"
"C","Dylan Larkin",4400,"Dal@Det 03:00PM ET",3.231,"Det"
"RW","Nail Yakupov",4300,"Edm@Chi 08:00PM ET",3.071,"Edm"
"D","Alex Goligoski",4200,"Dal@Det 03:00PM ET",2.607,"Dal"
"C","Artem Anisimov",4200,"Edm@Chi 08:00PM ET",2.429,"Chi"
"RW","David Pastrnak",4200,"Bos@NYI 05:00PM ET",2.450,"Bos"
"C","Cody Eakin",4100,"Dal@Det 03:00PM ET",2.179,"Dal"
"LW","Teuvo Teravainen",4100,"Edm@Chi 08:00PM ET",2.357,"Chi"
"D","Niklas Kronwall",4000,"Dal@Det 03:00PM ET",1.654,"Det"
"LW","Benoit Pouliot",4000,"Edm@Chi 08:00PM ET",2.393,"Edm"
"RW","Kyle Palmieri",4000,"Van@NJ 05:00PM ET",3.423,"NJ"
"C","Ryan Spooner",4000,"Bos@NYI 05:00PM ET",2.231,"Bos"
"LW","Chris Higgins",3900,"Van@NJ 05:00PM ET",2.500,"Van"
"RW","Ales Hemsky",3900,"Dal@Det 03:00PM ET",2.500,"Dal"
"LW","Josh Bailey",3900,"Bos@NYI 05:00PM ET",2.036,"NYI"
"C","Brock Nelson",3900,"Bos@NYI 05:00PM ET",2.179,"NYI"
"RW","Alexandre Burrows",3800,"Van@NJ 05:00PM ET",2.229,"Van"
"LW","Matt Beleskey",3800,"Bos@NYI 05:00PM ET",2.045,"Bos"
"D","Oscar Klefbom",3700,"Edm@Chi 08:00PM ET",2.643,"Edm"
